 2020-Sep-05 04:40  m  128.8457  38.6274
 2020-Sep-05 04:42  m  129.3465  38.9251
 2020-Sep-05 04:44  m  129.8513  39.2208
 2020-Sep-05 04:46  m  130.3604  39.5144
 2020-Sep-05 04:48  m  130.8738  39.8058
 2020-Sep-05 04:50  m  131.3914  40.0951
 2020-Sep-05 04:52  m  131.9134  40.3821
 2020-Sep-05 04:54  m  132.4398  40.6669
 2020-Sep-05 04:56  m  132.9706  40.9494
 2020-Sep-05 04:58  m  133.5059  41.2295
 2020-Sep-05 05:00  m  134.0457  41.5072
 2020-Sep-05 05:02  m  134.5901  41.7825
 2020-Sep-05 05:04  m  135.1392  42.0553
 2020-Sep-05 05:06  m  135.6929  42.3256
 2020-Sep-05 05:08  m  136.2513  42.5933
 2020-Sep-05 05:10  m  136.8144  42.8583
 2020-Sep-05 05:12  m  137.3823  43.1207
 2020-Sep-05 05:14  m  137.9551  43.3804
 2020-Sep-05 05:16  m  138.5326  43.6373
 2020-Sep-05 05:18  m  139.1151  43.8914
 2020-Sep-05 05:20  m  139.7024  44.1426
 2020-Sep-05 05:22  m  140.2947  44.3908
 2020-Sep-05 05:24  m  140.8920  44.6361
 2020-Sep-05 05:26  m  141.4942  44.8784
 2020-Sep-05 05:28  m  142.1015  45.1176
 2020-Sep-05 05:30  m  142.7137  45.3536
 2020-Sep-05 05:32  m  143.3310  45.5865
 2020-Sep-05 05:34  m  143.9534  45.8162
 2020-Sep-05 05:36  m  144.5808  46.0425
 2020-Sep-05 05:38  m  145.2133  46.2655
 2020-Sep-05 05:40  m  145.8508  46.4851
 2020-Sep-05 05:42  m  146.4935  46.7012
 2020-Sep-05 05:44  m  147.1412  46.9139
 2020-Sep-05 05:46  m  147.7939  47.1229
 2020-Sep-05 05:48  m  148.4518  47.3284
 2020-Sep-05 05:50  m  149.1146  47.5302
 2020-Sep-05 05:52  m  149.7825  47.7282
 2020-Sep-05 05:54  m  150.4554  47.9225
 2020-Sep-05 05:56  m  151.1332  48.1129
 2020-Sep-05 05:58  m  151.8160  48.2994
 2020-Sep-05 06:00  m  152.5037  48.4820
 2020-Sep-05 06:02  m  153.1963  48.6606
 2020-Sep-05 06:04  m  153.8936  48.8351
 2020-Sep-05 06:06  m  154.5958  49.0055
 2020-Sep-05 06:08  m  155.3026  49.1717
 2020-Sep-05 06:10  m  156.0142  49.3338
 2020-Sep-05 06:12  m  156.7303  49.4915
 2020-Sep-05 06:14  m  157.4509  49.6449
 2020-Sep-05 06:16  m  158.1760  49.7940
 2020-Sep-05 06:18  m  158.9054  49.9386
 2020-Sep-05 06:20  m  159.6391  50.0788
 2020-Sep-05 06:22  m  160.3770  50.2144
 2020-Sep-05 06:24  m  161.1190  50.3454
 2020-Sep-05 06:26  m  161.8650  50.4719
 2020-Sep-05 06:28  m  162.6149  50.5937
 2020-Sep-05 06:30  m  163.3686  50.7107
 2020-Sep-05 06:32  m  164.1259  50.8231
 2020-Sep-05 06:34  m  164.8867  50.9306
 2020-Sep-05 06:36  m  165.6510  51.0333
 2020-Sep-05 06:38  m  166.4185  51.1311
 2020-Sep-05 06:40  m  167.1892  51.2240
 2020-Sep-05 06:42  m  167.9629  51.3120
 2020-Sep-05 06:44  m  168.7395  51.3949
 2020-Sep-05 06:46  m  169.5187  51.4729
 2020-Sep-05 06:48  m  170.3005  51.5458
 2020-Sep-05 06:50  m  171.0848  51.6137
 2020-Sep-05 06:52  m  171.8712  51.6764
 2020-Sep-05 06:54  m  172.6597  51.7340
 2020-Sep-05 06:56  m  173.4501  51.7865
 2020-Sep-05 06:58  m  174.2423  51.8338
 2020-Sep-05 07:00  m  175.0360  51.8758
 2020-Sep-05 07:02  m  175.8310  51.9127
 2020-Sep-05 07:04  m  176.6273  51.9444
 2020-Sep-05 07:06  m  177.4246  51.9708
 2020-Sep-05 07:08  m  178.2227  51.9920
 2020-Sep-05 07:10  m  179.0215  52.0079
 2020-Sep-05 07:12  m  179.8208  52.0186
 2020-Sep-05 07:14  m  180.6203  52.0240
 2020-Sep-05 07:16  t  181.4199  52.0241
 2020-Sep-05 07:18  m  182.2194  52.0189
 2020-Sep-05 07:20  m  183.0187  52.0085
 2020-Sep-05 07:22  m  183.8175  51.9928
 2020-Sep-05 07:24  m  184.6156  51.9719
 2020-Sep-05 07:26  m  185.4129  51.9457
 2020-Sep-05 07:28  m  186.2092  51.9143
 2020-Sep-05 07:30  m  187.0042  51.8777
 2020-Sep-05 07:32  m  187.7979  51.8359
 2020-Sep-05 07:34  m  188.5901  51.7889
 2020-Sep-05 07:36  m  189.3805  51.7367
 2020-Sep-05 07:38  m  190.1690  51.6794
 2020-Sep-05 07:40  m  190.9555  51.6170
 2020-Sep-05 07:42  m  191.7397  51.5495
 2020-Sep-05 07:44  m  192.5216  51.4769
 2020-Sep-05 07:46  m  193.3009  51.3993
 2020-Sep-05 07:48  m  194.0775  51.3167
 2020-Sep-05 07:50  m  194.8512  51.2291
 2020-Sep-05 07:52  m  195.6220  51.1366
 2020-Sep-05 07:54  m  196.3896  51.0392
 2020-Sep-05 07:56  m  197.1539  50.9370
 2020-Sep-05 07:58  m  197.9149  50.8299
 2020-Sep-05 08:00  m  198.6723  50.7181
 2020-Sep-05 08:02  m  199.4261  50.6015
 2020-Sep-05 08:04  m  200.1761  50.4802
 2020-Sep-05 08:06  m  200.9222  50.3544
 2020-Sep-05 08:08  m  201.6644  50.2239
 2020-Sep-05 08:10  m  202.4025  50.0888
 2020-Sep-05 08:12  m  203.1364  49.9493
 2020-Sep-05 08:14  m  203.8661  49.8053
 2020-Sep-05 08:16  m  204.5914  49.6569
 2020-Sep-05 08:18  m  205.3123  49.5042
 2020-Sep-05 08:20  m  206.0287  49.3472
 2020-Sep-05 08:22  m  206.7406  49.1859
 2020-Sep-05 08:24  m  207.4478  49.0205
 2020-Sep-05 08:26  m  208.1503  48.8509
 2020-Sep-05 08:28  m  208.8481  48.6772
 2020-Sep-05 08:30  m  209.5411  48.4995
 2020-Sep-05 08:32  m  210.2292  48.3179
 2020-Sep-05 08:34  m  210.9125  48.1323
 2020-Sep-05 08:36  m  211.5909  47.9428
 2020-Sep-05 08:38  m  212.2644  47.7496
 2020-Sep-05 08:40  m  212.9328  47.5526
 2020-Sep-05 08:42  m  213.5963  47.3519
 2020-Sep-05 08:44  m  214.2548  47.1475
 2020-Sep-05 08:46  m  214.9083  46.9396
 2020-Sep-05 08:48  m  215.5568  46.7281
 2020-Sep-05 08:50  m  216.2002  46.5132
 2020-Sep-05 08:52  m  216.8386  46.2948
 2020-Sep-05 08:54  m  217.4719  46.0731
 2020-Sep-05 08:56  m  218.1003  45.8481
 2020-Sep-05 08:58  m  218.7236  45.6198
 2020-Sep-05 09:00 Am  219.3419  45.3883
 2020-Sep-05 09:02 Am  219.9552  45.1537
 2020-Sep-05 09:04 Am  220.5635  44.9160
 2020-Sep-05 09:06 Am  221.1669  44.6752
 2020-Sep-05 09:08 Am  221.7653  44.4314
 2020-Sep-05 09:10 Am  222.3588  44.1847
 2020-Sep-05 09:12 Am  222.9475  43.9351
 2020-Sep-05 09:14 Am  223.5312  43.6827
 2020-Sep-05 09:16 Am  224.1102  43.4275
 2020-Sep-05 09:18 Am  224.6843  43.1696
 2020-Sep-05 09:20 Am  225.2537  42.9090
 2020-Sep-05 09:22 Am  225.8183  42.6457
 2020-Sep-05 09:24 Am  226.3783  42.3799
 2020-Sep-05 09:26 Am  226.9336  42.1115
 2020-Sep-05 09:28 Am  227.4843  41.8406
 2020-Sep-05 09:30 Am  228.0305  41.5673
 2020-Sep-05 09:32 Am  228.5721  41.2916
 2020-Sep-05 09:34 Nm  229.1092  41.0135
 2020-Sep-05 09:36 Nm  229.6419  40.7331
 2020-Sep-05 09:38 Nm  230.1702  40.4505
 2020-Sep-05 09:40 Nm  230.6942  40.1656
 2020-Sep-05 09:42 Nm  231.2139  39.8786
 2020-Sep-05 09:44 Nm  231.7293  39.5894
 2020-Sep-05 09:46 Nm  232.2405  39.2981
 2020-Sep-05 09:48 Nm  232.7476  39.0048
 2020-Sep-05 09:50 Nm  233.2506  38.7095
 2020-Sep-05 09:52 Nm  233.7495  38.4122
 2020-Sep-05 09:54 Nm  234.2445  38.1129
 2020-Sep-05 09:56 Nm  234.7354  37.8118
 2020-Sep-05 09:58 Nm  235.2225  37.5088
 2020-Sep-05 10:00 Nm  235.7058  37.2040
 2020-Sep-05 10:02 Nm  236.1852  36.8974
 2020-Sep-05 10:04 Nm  236.6610  36.5890
 2020-Sep-05 10:06 Cm  237.1330  36.2790
 2020-Sep-05 10:08 Cm  237.6014  35.9673
 2020-Sep-05 10:10 Cm  238.0662  35.6539
 2020-Sep-05 10:12 Cm  238.5275  35.3389
 2020-Sep-05 10:14 Cm  238.9853  35.0224
 2020-Sep-05 10:16 Cm  239.4397  34.7043
 2020-Sep-05 10:18 Cm  239.8907  34.3847
 2020-Sep-05 10:20 Cm  240.3383  34.0637
 2020-Sep-05 10:22 Cm  240.7827  33.7412
 2020-Sep-05 10:24 Cm  241.2239  33.4173
 2020-Sep-05 10:26 Cm  241.6619  33.0920
 2020-Sep-05 10:28 Cm  242.0968  32.7653
 2020-Sep-05 10:30 Cm  242.5286  32.4373
 2020-Sep-05 10:32 Cm  242.9574  32.1081
 2020-Sep-05 10:34 *m  243.3832  31.7775
 2020-Sep-05 10:36 *m  243.8061  31.4458
