 2017-Sep-05 09:02 Am  248.8200   5.9099
 2017-Sep-05 09:04 Am  249.1497   5.5666
 2017-Sep-05 09:06 Am  249.4785   5.2225
 2017-Sep-05 09:08 Am  249.8062   4.8777
 2017-Sep-05 09:10 Am  250.1329   4.5321
 2017-Sep-05 09:12 Am  250.4587   4.1859
 2017-Sep-05 09:14 Am  250.7836   3.8390
 2017-Sep-05 09:16 Am  251.1076   3.4915
 2017-Sep-05 09:18 Am  251.4307   3.1433
 2017-Sep-05 09:20 Am  251.7529   2.7944
 2017-Sep-05 09:22 Am  252.0743   2.4450
 2017-Sep-05 09:24 Am  252.3949   2.0949
 2017-Sep-05 09:26 Am  252.7147   1.7442
 2017-Sep-05 09:28 Am  253.0337   1.3929
 2017-Sep-05 09:30 Am  253.3520   1.0411
 2017-Sep-05 09:32 Am  253.6696   0.6887
 2017-Sep-05 09:34 Nm  253.9865   0.3358
 2017-Sep-05 09:36 Nm  254.3027  -0.0177
 2017-Sep-05 09:38 Nm  254.6183  -0.3717
 2017-Sep-05 09:40 Nm  254.9333  -0.7262
 2017-Sep-05 09:42 Ns  255.2476  -1.0812
 2017-Sep-05 09:44 N   255.5614  -1.4367
 2017-Sep-05 09:46 N   255.8747  -1.7927
 2017-Sep-05 09:48 N   256.1874  -2.1491
 2017-Sep-05 09:50 N   256.4996  -2.5060
 2017-Sep-05 09:52 N   256.8113  -2.8633
 2017-Sep-05 09:54 N   257.1226  -3.2211
 2017-Sep-05 09:56 N   257.4334  -3.5793
 2017-Sep-05 09:58 N   257.7438  -3.9378
 2017-Sep-05 10:00 N   258.0539  -4.2968
 2017-Sep-05 10:02 N   258.3635  -4.6562
 2017-Sep-05 10:04 N   258.6729  -5.0159
 2017-Sep-05 10:06 C   258.9819  -5.3760
 2017-Sep-05 10:08 C   259.2906  -5.7364
 2017-Sep-05 10:10 C   259.5991  -6.0971
 2017-Sep-05 10:12 C   259.9073  -6.4582
 2017-Sep-05 10:14 C   260.2154  -6.8196
 2017-Sep-05 10:16 C   260.5232  -7.1814
 2017-Sep-05 10:18 C   260.8308  -7.5434
 2017-Sep-05 10:20 C   261.1383  -7.9056
 2017-Sep-05 10:22 C   261.4457  -8.2682
 2017-Sep-05 10:24 C   261.7530  -8.6310
 2017-Sep-05 10:26 C   262.0602  -8.9941
 2017-Sep-05 10:28 C   262.3674  -9.3574
 2017-Sep-05 10:30 C   262.6745  -9.7209
 2017-Sep-05 10:32 C   262.9817 -10.0847
 2017-Sep-05 10:34 *   263.2889 -10.4486
 2017-Sep-05 10:36 *   263.5961 -10.8128
 2017-Sep-05 10:38 *   263.9034 -11.1771
