 2018-Apr-01 07:12  m  208.8654  41.3463
 2018-Apr-01 07:14  m  209.4643  41.1576
 2018-Apr-01 07:16  m  210.0594  40.9655
 2018-Apr-01 07:18  m  210.6509  40.7701
 2018-Apr-01 07:20  m  211.2386  40.5714
 2018-Apr-01 07:22  m  211.8227  40.3695
 2018-Apr-01 07:24  m  212.4030  40.1643
 2018-Apr-01 07:26  m  212.9796  39.9560
 2018-Apr-01 07:28  m  213.5524  39.7445
 2018-Apr-01 07:30  m  214.1215  39.5300
 2018-Apr-01 07:32  m  214.6868  39.3124
 2018-Apr-01 07:34  m  215.2484  39.0918
 2018-Apr-01 07:36  m  215.8062  38.8683
 2018-Apr-01 07:38  m  216.3603  38.6418
 2018-Apr-01 07:40  m  216.9107  38.4125
 2018-Apr-01 07:42  m  217.4573  38.1803
 2018-Apr-01 07:44  m  218.0001  37.9454
 2018-Apr-01 07:46  m  218.5393  37.7076
 2018-Apr-01 07:48  m  219.0747  37.4672
 2018-Apr-01 07:50  m  219.6064  37.2241
 2018-Apr-01 07:52  m  220.1345  36.9783
 2018-Apr-01 07:54  m  220.6589  36.7300
 2018-Apr-01 07:56  m  221.1796  36.4791
 2018-Apr-01 07:58  m  221.6968  36.2257
 2018-Apr-01 08:00  m  222.2103  35.9698
 2018-Apr-01 08:02  m  222.7202  35.7114
 2018-Apr-01 08:04  m  223.2265  35.4507
 2018-Apr-01 08:06  m  223.7293  35.1876
 2018-Apr-01 08:08  m  224.2286  34.9221
 2018-Apr-01 08:10  m  224.7244  34.6544
 2018-Apr-01 08:12  m  225.2167  34.3844
 2018-Apr-01 08:14  m  225.7056  34.1122
 2018-Apr-01 08:16  m  226.1911  33.8378
 2018-Apr-01 08:18  m  226.6732  33.5612
 2018-Apr-01 08:20  m  227.1519  33.2826
 2018-Apr-01 08:22  m  227.6273  33.0018
 2018-Apr-01 08:24  m  228.0994  32.7190
 2018-Apr-01 08:26  m  228.5682  32.4342
 2018-Apr-01 08:28  m  229.0338  32.1474
 2018-Apr-01 08:30  m  229.4962  31.8587
 2018-Apr-01 08:32  m  229.9554  31.5680
 2018-Apr-01 08:34  m  230.4114  31.2755
 2018-Apr-01 08:36  m  230.8644  30.9811
 2018-Apr-01 08:38  m  231.3143  30.6849
 2018-Apr-01 08:40  m  231.7611  30.3869
 2018-Apr-01 08:42  m  232.2049  30.0872
 2018-Apr-01 08:44  m  232.6458  29.7857
 2018-Apr-01 08:46  m  233.0837  29.4825
 2018-Apr-01 08:48  m  233.5187  29.1776
 2018-Apr-01 08:50  m  233.9508  28.8712
 2018-Apr-01 08:52  m  234.3801  28.5631
 2018-Apr-01 08:54  m  234.8066  28.2534
 2018-Apr-01 08:56  m  235.2304  27.9421
 2018-Apr-01 08:58  m  235.6514  27.6293
 2018-Apr-01 09:00  m  236.0697  27.3151
 2018-Apr-01 09:02  m  236.4853  26.9993
 2018-Apr-01 09:04  m  236.8983  26.6821
