*******************************************************************************
Ephemeris / WWW_USER Sun Dec  6 16:09:47 2015 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE-0431LE-0431}
Center body name: Earth (399)                     {source: DE-0431LE-0431}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2020-Mar-05 00:00:00.0000 UT      
Stop  time      : A.D. 2020-Jun-05 00:00:00.0000 UT      
Step-size       : 2 minutes
*******************************************************************************
Target pole/equ : IAU_MOON                        {East-longitude +}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 284.844200,39.9494000,-1.01E-12 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 284.844200,4896.31709,4073.6801 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE-0431LE-0431}
Rel. light bend : Sun, EARTH                      {source: DE-0431LE-0431}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.151204.p160225                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2015-DEC-04. PREDICTS-> 2016-FEB-24
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
*******************************************************************************
 Date__(UT)__HR:MN     Azi_(a-appr)_Elev
****************************************
$$SOE
 2020-Mar-05 00:00 Am  140.8026  69.4886
 2020-Mar-05 00:02 Am  141.8999  69.7227
 2020-Mar-05 10:28 A   319.7587 -16.1348
 2020-Mar-05 10:30 N   320.1443 -16.3714
 2020-Mar-05 10:32 N   320.5315 -16.6061
 2020-Mar-05 10:34 N   320.9204 -16.8388
 2020-Mar-05 10:36 N   321.3110 -17.0697
 2020-Mar-05 10:38 N   321.7033 -17.2985
 2020-Mar-05 10:40 N   322.0974 -17.5254
 2020-Mar-05 10:42 N   322.4932 -17.7503
 2020-Mar-05 10:44 N   322.8907 -17.9731
 2020-Mar-05 10:46 N   323.2899 -18.1939
 2020-Mar-05 10:48 N   323.6908 -18.4127
 2020-Mar-05 10:50 N   324.0935 -18.6293
 2020-Mar-05 10:52 N   324.4979 -18.8439
 2020-Mar-05 10:54 N   324.9041 -19.0563
 2020-Mar-05 10:56 N   325.3120 -19.2666
 2020-Mar-05 10:58 N   325.7216 -19.4748
 2020-Mar-05 11:00 N   326.1329 -19.6807
 2020-Mar-05 11:02 C   326.5460 -19.8845
 2020-Mar-05 11:04 C   326.9608 -20.0861
 2020-Mar-05 11:06 C   327.3773 -20.2854
 2020-Mar-05 11:08 C   327.7956 -20.4825
 2020-Mar-05 11:10 C   328.2156 -20.6772
 2020-Mar-05 11:12 C   328.6372 -20.8697
 2020-Mar-05 11:14 C   329.0607 -21.0599
 2020-Mar-05 11:16 C   329.4858 -21.2478
 2020-Mar-05 11:18 C   329.9126 -21.4333
 2020-Mar-05 11:20 C   330.3411 -21.6164
 2020-Mar-05 11:22 C   330.7713 -21.7972
 2020-Mar-05 11:24 C   331.2031 -21.9755
 2020-Mar-05 11:26 C   331.6367 -22.1514
 2020-Mar-05 11:28 *   332.0719 -22.3249
 2020-Mar-05 11:30 *   332.5088 -22.4959
 2020-Mar-05 11:32 *   332.9473 -22.6644
 2020-Mar-05 11:34 *   333.3874 -22.8304
 2020-Mar-05 11:36 *   333.8292 -22.9939
 2020-Mar-05 11:38 *   334.2726 -23.1548
 2020-Mar-05 11:40 *   334.7175 -23.3132
 2020-Mar-05 11:42 *   335.1641 -23.4690
 2020-Mar-05 11:44 *   335.6122 -23.6223
 2020-Mar-05 11:46 *   336.0619 -23.7729
 2020-Mar-05 11:48 *   336.5131 -23.9208
 2020-Mar-05 11:50 *   336.9659 -24.0661
 2020-Mar-05 11:52 *   337.4201 -24.2088
 2020-Mar-05 11:54 *   337.8759 -24.3488
 2020-Mar-05 11:56 *   338.3331 -24.4860
 2020-Mar-05 11:58 *   338.7918 -24.6206
 2020-Mar-05 12:00 *   339.2519 -24.7524
 2020-Mar-05 12:02 *   339.7134 -24.8815
 2020-Mar-05 12:04 *   340.1763 -25.0077
 2020-Mar-05 12:06 *   340.6406 -25.1312
 2020-Mar-05 12:08 *   341.1062 -25.2520
 2020-Mar-05 12:10 *   341.5731 -25.3698
 2020-Mar-05 12:12 *   342.0414 -25.4849
 2020-Mar-05 12:14 *   342.5109 -25.5971
 2020-Mar-05 12:16 *   342.9817 -25.7065
 2020-Mar-05 12:18 *   343.4537 -25.8129
 2020-Mar-05 12:20 *   343.9269 -25.9165
 2020-Mar-05 12:22 *   344.4013 -26.0172
 2020-Mar-05 12:24 *   344.8768 -26.1149
 2020-Mar-05 12:26 *   345.3535 -26.2098
 2020-Mar-05 12:28 *   345.8312 -26.3017
 2020-Mar-05 12:30 *   346.3100 -26.3906
 2020-Mar-05 12:32 *   346.7898 -26.4765
 2020-Mar-05 12:34 *   347.2706 -26.5595
 2020-Mar-05 12:36 *   347.7524 -26.6395
 2020-Mar-05 12:38 *   348.2351 -26.7164
 2020-Mar-05 12:40 *   348.7188 -26.7904
 2020-Mar-05 12:42 *   349.2033 -26.8613
 2020-Mar-05 12:44 *   349.6886 -26.9292
 2020-Mar-05 12:46 *   350.1747 -26.9940
 2020-Mar-05 12:48 *   350.6616 -27.0558
 2020-Mar-05 12:50 *   351.1493 -27.1145
 2020-Mar-05 12:52 *   351.6376 -27.1702
 2020-Mar-05 12:54 *   352.1266 -27.2227
 2020-Mar-05 12:56 *   352.6163 -27.2722
 2020-Mar-05 12:58 *   353.1065 -27.3186
 2020-Mar-05 13:00 *   353.5973 -27.3618
 2020-Mar-05 13:02 *   354.0885 -27.4020
 2020-Mar-05 13:04 *   354.5803 -27.4390
 2020-Mar-05 13:06 *   355.0725 -27.4730
 2020-Mar-05 13:08 *   355.5652 -27.5038
 2020-Mar-05 13:10 *   356.0581 -27.5314
 2020-Mar-05 13:12 *   356.5514 -27.5559
 2020-Mar-05 13:14 *   357.0450 -27.5773
 2020-Mar-05 13:16 *   357.5389 -27.5956
 2020-Mar-05 13:18 *   358.0330 -27.6107
 2020-Mar-05 13:20 *   358.5272 -27.6226
 2020-Mar-05 13:22 *   359.0216 -27.6314
 2020-Mar-05 13:24 *   359.5160 -27.6370
 2020-Mar-05 13:26 *     0.0105 -27.6395
 2020-Mar-05 13:28 *     0.5050 -27.6389
 2020-Mar-05 13:30 *     0.9995 -27.6351
 2020-Mar-05 13:32 *     1.4940 -27.6281
 2020-Mar-05 13:34 *     1.9883 -27.6180
 2020-Mar-05 13:36 *     2.4825 -27.6047
 2020-Mar-05 13:38 *     2.9765 -27.5883
 2020-Mar-05 13:40 *     3.4703 -27.5688
 2020-Mar-05 13:42 *     3.9638 -27.5461
 2020-Mar-05 13:44 *     4.4570 -27.5202
 2020-Mar-05 13:46 *     4.9499 -27.4913
 2020-Mar-05 13:48 *     5.4424 -27.4592
 2020-Mar-05 13:50 *     5.9345 -27.4239
 2020-Mar-05 13:52 *     6.4262 -27.3856
 2020-Mar-05 13:54 *     6.9173 -27.3441
 2020-Mar-05 13:56 *     7.4079 -27.2996
 2020-Mar-05 13:58 *     7.8980 -27.2519
 2020-Mar-05 14:00 *     8.3874 -27.2012
 2020-Mar-05 14:02 *     8.8763 -27.1473
 2020-Mar-05 14:04 *     9.3644 -27.0904
 2020-Mar-05 14:06 *     9.8519 -27.0304
 2020-Mar-05 14:08 *    10.3385 -26.9673
