 2023-Sep-01 05:16  m  162.6137  43.4263
 2023-Sep-01 05:18  m  163.2650  43.5459
 2023-Sep-01 05:20  m  163.9190  43.6614
 2023-Sep-01 05:22  m  164.5757  43.7728
 2023-Sep-01 05:24  m  165.2349  43.8801
 2023-Sep-01 05:26  m  165.8965  43.9832
 2023-Sep-01 05:28  m  166.5606  44.0822
 2023-Sep-01 05:30  m  167.2269  44.1769
 2023-Sep-01 05:32  m  167.8955  44.2674
 2023-Sep-01 05:34  m  168.5662  44.3536
 2023-Sep-01 05:36  m  169.2389  44.4355
 2023-Sep-01 05:38  m  169.9136  44.5132
 2023-Sep-01 05:40  m  170.5901  44.5864
 2023-Sep-01 05:42  m  171.2684  44.6553
 2023-Sep-01 05:44  m  171.9484  44.7199
 2023-Sep-01 05:46  m  172.6298  44.7800
 2023-Sep-01 05:48  m  173.3128  44.8358
 2023-Sep-01 05:50  m  173.9970  44.8870
 2023-Sep-01 05:52  m  174.6825  44.9339
 2023-Sep-01 05:54  m  175.3692  44.9763
 2023-Sep-01 05:56  m  176.0568  45.0142
 2023-Sep-01 05:58  m  176.7454  45.0476
 2023-Sep-01 06:00  m  177.4348  45.0765
 2023-Sep-01 06:02  m  178.1248  45.1009
 2023-Sep-01 06:04  m  178.8154  45.1209
 2023-Sep-01 06:06  m  179.5065  45.1362
 2023-Sep-01 06:08  m  180.1979  45.1471
 2023-Sep-01 06:10  m  180.8896  45.1535
 2023-Sep-01 06:12  t  181.5813  45.1553
 2023-Sep-01 06:14  m  182.2731  45.1526
 2023-Sep-01 06:16  m  182.9647  45.1454
 2023-Sep-01 06:18  m  183.6562  45.1336
 2023-Sep-01 06:20  m  184.3472  45.1173
 2023-Sep-01 06:22  m  185.0378  45.0965
 2023-Sep-01 06:24  m  185.7279  45.0713
 2023-Sep-01 06:26  m  186.4172  45.0415
 2023-Sep-01 06:28  m  187.1058  45.0072
 2023-Sep-01 06:30  m  187.7934  44.9685
 2023-Sep-01 06:32  m  188.4800  44.9253
 2023-Sep-01 06:34  m  189.1655  44.8776
 2023-Sep-01 06:36  m  189.8498  44.8255
 2023-Sep-01 06:38  m  190.5327  44.7690
 2023-Sep-01 06:40  m  191.2142  44.7081
 2023-Sep-01 06:42  m  191.8941  44.6428
 2023-Sep-01 06:44  m  192.5724  44.5732
 2023-Sep-01 06:46  m  193.2489  44.4992
 2023-Sep-01 06:48  m  193.9236  44.4209
 2023-Sep-01 06:50  m  194.5963  44.3383
 2023-Sep-01 06:52  m  195.2671  44.2514
 2023-Sep-01 06:54  m  195.9357  44.1603
 2023-Sep-01 06:56  m  196.6021  44.0650
 2023-Sep-01 06:58  m  197.2662  43.9655
 2023-Sep-01 07:00  m  197.9280  43.8618
 2023-Sep-01 07:02  m  198.5873  43.7540
 2023-Sep-01 07:04  m  199.2440  43.6421
 2023-Sep-01 07:06  m  199.8982  43.5261
 2023-Sep-01 07:08  m  200.5497  43.4061
 2023-Sep-01 07:10  m  201.1985  43.2822
 2023-Sep-01 07:12  m  201.8444  43.1542
 2023-Sep-01 07:14  m  202.4875  43.0223
 2023-Sep-01 07:16  m  203.1277  42.8865
 2023-Sep-01 07:18  m  203.7648  42.7469
 2023-Sep-01 07:20  m  204.3989  42.6034
 2023-Sep-01 07:22  m  205.0300  42.4561
 2023-Sep-01 07:24  m  205.6578  42.3051
 2023-Sep-01 07:26  m  206.2825  42.1504
 2023-Sep-01 07:28  m  206.9039  41.9920
 2023-Sep-01 07:30  m  207.5221  41.8299
 2023-Sep-01 07:32  m  208.1370  41.6643
 2023-Sep-01 07:34  m  208.7484  41.4951
 2023-Sep-01 07:36  m  209.3566  41.3224
 2023-Sep-01 07:38  m  209.9612  41.1462
 2023-Sep-01 07:40  m  210.5625  40.9666
 2023-Sep-01 07:42  m  211.1603  40.7836
 2023-Sep-01 07:44  m  211.7546  40.5972
 2023-Sep-01 07:46  m  212.3453  40.4075
 2023-Sep-01 07:48  m  212.9326  40.2146
 2023-Sep-01 07:50  m  213.5163  40.0184
 2023-Sep-01 07:52  m  214.0964  39.8190
 2023-Sep-01 07:54  m  214.6730  39.6164
 2023-Sep-01 07:56  m  215.2459  39.4108
 2023-Sep-01 07:58  m  215.8153  39.2021
 2023-Sep-01 08:00  m  216.3811  38.9903
 2023-Sep-01 08:02  m  216.9433  38.7756
 2023-Sep-01 08:04  m  217.5019  38.5579
 2023-Sep-01 08:06  m  218.0569  38.3374
 2023-Sep-01 08:08  m  218.6084  38.1139
 2023-Sep-01 08:10  m  219.1562  37.8877
 2023-Sep-01 08:12  m  219.7004  37.6586
 2023-Sep-01 08:14  m  220.2411  37.4268
 2023-Sep-01 08:16  m  220.7782  37.1923
 2023-Sep-01 08:18  m  221.3118  36.9551
 2023-Sep-01 08:20  m  221.8418  36.7154
 2023-Sep-01 08:22  m  222.3682  36.4730
 2023-Sep-01 08:24  m  222.8912  36.2280
 2023-Sep-01 08:26  m  223.4107  35.9806
 2023-Sep-01 08:28  m  223.9267  35.7307
 2023-Sep-01 08:30  m  224.4392  35.4784
 2023-Sep-01 08:32  m  224.9483  35.2236
 2023-Sep-01 08:34  m  225.4539  34.9665
 2023-Sep-01 08:36  m  225.9562  34.7071
 2023-Sep-01 08:38  m  226.4551  34.4454
 2023-Sep-01 08:40  m  226.9506  34.1815
 2023-Sep-01 08:42  m  227.4429  33.9153
 2023-Sep-01 08:44  m  227.9318  33.6470
 2023-Sep-01 08:46  m  228.4174  33.3765
 2023-Sep-01 08:48  m  228.8998  33.1039
 2023-Sep-01 08:50  m  229.3790  32.8292
 2023-Sep-01 08:52  m  229.8549  32.5525
 2023-Sep-01 08:54 Am  230.3278  32.2738
 2023-Sep-01 08:56 Am  230.7974  31.9932
 2023-Sep-01 08:58 Am  231.2640  31.7106
 2023-Sep-01 09:00 Am  231.7275  31.4260
 2023-Sep-01 09:02 Am  232.1880  31.1396
 2023-Sep-01 09:04 Am  232.6454  30.8514
 2023-Sep-01 09:06 Am  233.0999  30.5614
 2023-Sep-01 09:08 Am  233.5515  30.2695
 2023-Sep-01 09:10 Am  234.0001  29.9760
 2023-Sep-01 09:12 Am  234.4458  29.6807
 2023-Sep-01 09:14 Am  234.8887  29.3837
 2023-Sep-01 09:16 Am  235.3288  29.0851
 2023-Sep-01 09:18 Am  235.7661  28.7848
 2023-Sep-01 09:20 Am  236.2006  28.4829
 2023-Sep-01 09:22 Am  236.6324  28.1795
 2023-Sep-01 09:24 Am  237.0616  27.8745
 2023-Sep-01 09:26 Am  237.4881  27.5680
 2023-Sep-01 09:28 Nm  237.9120  27.2600
 2023-Sep-01 09:30 Nm  238.3333  26.9506
 2023-Sep-01 09:32 Nm  238.7521  26.6397
 2023-Sep-01 09:34 Nm  239.1683  26.3274
 2023-Sep-01 09:36 Nm  239.5821  26.0137
 2023-Sep-01 09:38 Nm  239.9935  25.6987
 2023-Sep-01 09:40 Nm  240.4024  25.3824
 2023-Sep-01 09:42 Nm  240.8090  25.0647
 2023-Sep-01 09:44 Nm  241.2132  24.7457
 2023-Sep-01 09:46 Nm  241.6151  24.4255
 2023-Sep-01 09:48 Nm  242.0148  24.1041
 2023-Sep-01 09:50 Nm  242.4122  23.7814
 2023-Sep-01 09:52 Nm  242.8075  23.4576
 2023-Sep-01 09:54 Nm  243.2005  23.1326
 2023-Sep-01 09:56 Nm  243.5915  22.8064
