*******************************************************************************
Ephemeris / WWW_USER Sun Dec  6 15:57:36 2015 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE-0431LE-0431}
Center body name: Earth (399)                     {source: DE-0431LE-0431}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2017-Mar-05 00:00:00.0000 UT      
Stop  time      : A.D. 2017-Jun-05 00:00:00.0000 UT      
Step-size       : 2 minutes
*******************************************************************************
Target pole/equ : IAU_MOON                        {East-longitude +}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 284.844200,39.9494000,-1.01E-12 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 284.844200,4896.31709,4073.6801 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE-0431LE-0431}
Rel. light bend : Sun, EARTH                      {source: DE-0431LE-0431}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.151204.p160225                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2015-DEC-04. PREDICTS-> 2016-FEB-24
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
*******************************************************************************
 Date__(UT)__HR:MN     Azi_(a-appr)_Elev
****************************************
$$SOE
 2017-Mar-05 00:00 Am  222.9208  60.1097
 2017-Mar-05 04:14  m  277.9265  16.1987
 2017-Mar-05 04:16  m  278.2220  15.8336
 2017-Mar-05 04:18  m  278.5173  15.4689
 2017-Mar-05 04:20  m  278.8124  15.1044
 2017-Mar-05 04:22  m  279.1074  14.7403
 2017-Mar-05 04:24  m  279.4022  14.3765
 2017-Mar-05 04:26  m  279.6969  14.0131
 2017-Mar-05 04:28  m  279.9915  13.6500
 2017-Mar-05 04:30  m  280.2861  13.2873
 2017-Mar-05 04:32  m  280.5806  12.9250
 2017-Mar-05 04:34  m  280.8751  12.5631
 2017-Mar-05 04:36  m  281.1696  12.2016
 2017-Mar-05 04:38  m  281.4642  11.8405
 2017-Mar-05 04:40  m  281.7588  11.4798
 2017-Mar-05 04:42  m  282.0534  11.1195
 2017-Mar-05 04:44  m  282.3482  10.7597
 2017-Mar-05 04:46  m  282.6431  10.4003
 2017-Mar-05 04:48  m  282.9381  10.0413
 2017-Mar-05 04:50  m  283.2333   9.6829
 2017-Mar-05 04:52  m  283.5287   9.3249
 2017-Mar-05 04:54  m  283.8243   8.9674
 2017-Mar-05 04:56  m  284.1202   8.6104
 2017-Mar-05 04:58  m  284.4163   8.2539
 2017-Mar-05 05:00  m  284.7126   7.8980
 2017-Mar-05 05:02  m  285.0093   7.5425
 2017-Mar-05 05:04  m  285.3063   7.1876
 2017-Mar-05 05:06  m  285.6036   6.8332
 2017-Mar-05 05:08  m  285.9013   6.4794
 2017-Mar-05 05:10  m  286.1994   6.1262
 2017-Mar-05 05:12  m  286.4979   5.7735
 2017-Mar-05 05:14  m  286.7968   5.4214
 2017-Mar-05 05:16  m  287.0962   5.0700
 2017-Mar-05 05:18  m  287.3960   4.7191
 2017-Mar-05 05:20  m  287.6963   4.3688
 2017-Mar-05 05:22  m  287.9971   4.0192
 2017-Mar-05 05:24  m  288.2985   3.6702
 2017-Mar-05 05:26  m  288.6004   3.3219
 2017-Mar-05 05:28  m  288.9029   2.9742
 2017-Mar-05 05:30  m  289.2060   2.6272
 2017-Mar-05 05:32  m  289.5097   2.2809
 2017-Mar-05 05:34  m  289.8140   1.9353
 2017-Mar-05 05:36  m  290.1190   1.5904
 2017-Mar-05 05:38  m  290.4246   1.2461
 2017-Mar-05 05:40  m  290.7310   0.9027
 2017-Mar-05 05:42  m  291.0380   0.5599
 2017-Mar-05 05:44  m  291.3458   0.2179
 2017-Mar-05 05:46  m  291.6544  -0.1233
 2017-Mar-05 05:48  m  291.9637  -0.4637
 2017-Mar-05 05:50  m  292.2738  -0.8034
 2017-Mar-05 05:52  s  292.5848  -1.1423
 2017-Mar-05 05:54     292.8965  -1.4804
 2017-Mar-05 05:56     293.2092  -1.8176
 2017-Mar-05 05:58     293.5227  -2.1540
 2017-Mar-05 06:00     293.8371  -2.4896
 2017-Mar-05 06:02     294.1524  -2.8243
 2017-Mar-05 06:04     294.4686  -3.1582
 2017-Mar-05 06:06     294.7858  -3.4911
 2017-Mar-05 06:08     295.1040  -3.8232
 2017-Mar-05 06:10     295.4232  -4.1544
 2017-Mar-05 06:12     295.7434  -4.4846
 2017-Mar-05 06:14     296.0646  -4.8139
 2017-Mar-05 06:16     296.3869  -5.1423
 2017-Mar-05 06:18     296.7102  -5.4697
 2017-Mar-05 06:20     297.0347  -5.7961
 2017-Mar-05 06:22     297.3602  -6.1216
 2017-Mar-05 06:24     297.6869  -6.4460
 2017-Mar-05 06:26     298.0147  -6.7695
 2017-Mar-05 06:28     298.3437  -7.0919
 2017-Mar-05 06:30     298.6739  -7.4133
 2017-Mar-05 06:32     299.0053  -7.7336
 2017-Mar-05 06:34     299.3380  -8.0528
 2017-Mar-05 06:36     299.6719  -8.3710
 2017-Mar-05 06:38     300.0070  -8.6880
 2017-Mar-05 06:40     300.3434  -9.0040
 2017-Mar-05 06:42     300.6812  -9.3188
 2017-Mar-05 06:44     301.0203  -9.6325
 2017-Mar-05 06:46     301.3607  -9.9450
 2017-Mar-05 06:48     301.7025 -10.2564
 2017-Mar-05 06:50     302.0456 -10.5665
 2017-Mar-05 06:52     302.3902 -10.8755
 2017-Mar-05 06:54     302.7361 -11.1832
 2017-Mar-05 06:56     303.0836 -11.4897
 2017-Mar-05 06:58     303.4324 -11.7950
 2017-Mar-05 07:00     303.7828 -12.0990
 2017-Mar-05 07:02     304.1346 -12.4017
 2017-Mar-05 07:04     304.4880 -12.7031
 2017-Mar-05 07:06     304.8429 -13.0032
 2017-Mar-05 07:08     305.1993 -13.3019
 2017-Mar-05 07:10     305.5573 -13.5993
 2017-Mar-05 07:12     305.9169 -13.8953
 2017-Mar-05 07:14     306.2781 -14.1900
 2017-Mar-05 07:16     306.6409 -14.4832
 2017-Mar-05 07:18     307.0053 -14.7750
 2017-Mar-05 07:20     307.3714 -15.0654
 2017-Mar-05 07:22     307.7392 -15.3543
 2017-Mar-05 07:24     308.1087 -15.6418
 2017-Mar-05 07:26     308.4798 -15.9277
 2017-Mar-05 07:28     308.8527 -16.2121
 2017-Mar-05 07:30     309.2274 -16.4950
 2017-Mar-05 07:32     309.6037 -16.7764
 2017-Mar-05 07:34     309.9819 -17.0562
 2017-Mar-05 07:36     310.3618 -17.3344
 2017-Mar-05 07:38     310.7436 -17.6110
 2017-Mar-05 07:40     311.1272 -17.8860
 2017-Mar-05 07:42     311.5126 -18.1593
 2017-Mar-05 07:44     311.8998 -18.4309
 2017-Mar-05 07:46     312.2889 -18.7009
 2017-Mar-05 07:48     312.6799 -18.9692
 2017-Mar-05 07:50     313.0728 -19.2357
 2017-Mar-05 07:52     313.4676 -19.5005
 2017-Mar-05 07:54     313.8643 -19.7635
 2017-Mar-05 07:56     314.2629 -20.0248
 2017-Mar-05 07:58     314.6635 -20.2842
 2017-Mar-05 08:00     315.0660 -20.5418
 2017-Mar-05 08:02     315.4705 -20.7975
 2017-Mar-05 08:04     315.8770 -21.0514
 2017-Mar-05 08:06     316.2855 -21.3034
 2017-Mar-05 08:08     316.6960 -21.5534
 2017-Mar-05 08:10     317.1085 -21.8015
 2017-Mar-05 08:12     317.5230 -22.0477
 2017-Mar-05 08:14     317.9396 -22.2919
 2017-Mar-05 08:16     318.3582 -22.5340
 2017-Mar-05 08:18     318.7788 -22.7742
 2017-Mar-05 08:20     319.2015 -23.0123
