 2017-Sep-01 05:42  m  242.2794   1.2797
 2017-Sep-01 05:44  m  242.5963   0.9510
 2017-Sep-01 05:46  m  242.9120   0.6214
 2017-Sep-01 05:48  m  243.2268   0.2908
 2017-Sep-01 05:50  m  243.5405  -0.0406
 2017-Sep-01 05:52  m  243.8533  -0.3729
 2017-Sep-01 05:54  m  244.1651  -0.7061
 2017-Sep-01 05:56  s  244.4760  -1.0401
 2017-Sep-01 05:58     244.7859  -1.3749
 2017-Sep-01 06:00     245.0949  -1.7105
 2017-Sep-01 06:02     245.4030  -2.0470
 2017-Sep-01 06:04     245.7103  -2.3843
 2017-Sep-01 06:06     246.0167  -2.7223
 2017-Sep-01 06:08     246.3223  -3.0611
 2017-Sep-01 06:10     246.6271  -3.4007
 2017-Sep-01 06:12     246.9310  -3.7410
 2017-Sep-01 06:14     247.2342  -4.0821
 2017-Sep-01 06:16     247.5366  -4.4239
 2017-Sep-01 06:18     247.8383  -4.7664
 2017-Sep-01 06:20     248.1393  -5.1096
 2017-Sep-01 06:22     248.4396  -5.4534
 2017-Sep-01 06:24     248.7392  -5.7980
 2017-Sep-01 06:26     249.0381  -6.1432
 2017-Sep-01 06:28     249.3364  -6.4891
 2017-Sep-01 06:30     249.6341  -6.8357
 2017-Sep-01 06:32     249.9312  -7.1828
 2017-Sep-01 06:34     250.2277  -7.5306
 2017-Sep-01 06:36     250.5236  -7.8790
 2017-Sep-01 06:38     250.8190  -8.2281
 2017-Sep-01 06:40     251.1138  -8.5777
 2017-Sep-01 06:42     251.4082  -8.9278
 2017-Sep-01 06:44     251.7021  -9.2786
 2017-Sep-01 06:46     251.9955  -9.6299
 2017-Sep-01 06:48     252.2885  -9.9818
 2017-Sep-01 06:50     252.5810 -10.3342
 2017-Sep-01 06:52     252.8732 -10.6871
 2017-Sep-01 06:54     253.1649 -11.0406
 2017-Sep-01 06:56     253.4563 -11.3945
 2017-Sep-01 06:58     253.7474 -11.7490
 2017-Sep-01 07:00     254.0381 -12.1040
 2017-Sep-01 07:02     254.3286 -12.4594
 2017-Sep-01 07:04     254.6187 -12.8153
 2017-Sep-01 07:06     254.9086 -13.1717
 2017-Sep-01 07:08     255.1983 -13.5285
 2017-Sep-01 07:10     255.4878 -13.8857
 2017-Sep-01 07:12     255.7770 -14.2434
 2017-Sep-01 07:14     256.0661 -14.6016
 2017-Sep-01 07:16     256.3551 -14.9601
 2017-Sep-01 07:18     256.6439 -15.3190
 2017-Sep-01 07:20     256.9326 -15.6784
 2017-Sep-01 07:22     257.2212 -16.0381
 2017-Sep-01 07:24     257.5098 -16.3982
 2017-Sep-01 07:26     257.7983 -16.7586
 2017-Sep-01 07:28     258.0869 -17.1194
 2017-Sep-01 07:30     258.3754 -17.4806
 2017-Sep-01 07:32     258.6639 -17.8421
 2017-Sep-01 07:34     258.9526 -18.2039
 2017-Sep-01 07:36     259.2413 -18.5661
 2017-Sep-01 07:38     259.5301 -18.9285
 2017-Sep-01 07:40     259.8190 -19.2913
 2017-Sep-01 07:42     260.1081 -19.6544
 2017-Sep-01 07:44     260.3973 -20.0177
 2017-Sep-01 07:46     260.6868 -20.3813
 2017-Sep-01 07:48     260.9765 -20.7452
 2017-Sep-01 07:50     261.2664 -21.1094
 2017-Sep-01 07:52     261.5566 -21.4738
 2017-Sep-01 07:54     261.8471 -21.8384
 2017-Sep-01 07:56     262.1380 -22.2033
 2017-Sep-01 07:58     262.4292 -22.5684
 2017-Sep-01 08:00     262.7208 -22.9337
 2017-Sep-01 08:02     263.0128 -23.2992
 2017-Sep-01 08:04     263.3052 -23.6648
 2017-Sep-01 08:06     263.5981 -24.0307
