 2020-Dec-05 08:58  m  178.5139  71.2143
 2020-Dec-05 09:00  t  179.9303  71.2153
 2020-Dec-05 09:02  m  181.3463  71.2070
 2020-Dec-05 09:04  m  182.7606  71.1894
 2020-Dec-05 09:06  m  184.1719  71.1626
 2020-Dec-05 09:08  m  185.5790  71.1266
 2020-Dec-05 09:10  m  186.9807  71.0814
 2020-Dec-05 09:12  m  188.3758  71.0271
 2020-Dec-05 09:14  m  189.7632  70.9638
 2020-Dec-05 09:16  m  191.1418  70.8915
 2020-Dec-05 09:18  m  192.5105  70.8105
 2020-Dec-05 09:20  m  193.8683  70.7207
 2020-Dec-05 09:22  m  195.2144  70.6223
 2020-Dec-05 09:24  m  196.5477  70.5155
 2020-Dec-05 09:26  m  197.8676  70.4003
 2020-Dec-05 09:28  m  199.1733  70.2770
 2020-Dec-05 09:30  m  200.4639  70.1456
 2020-Dec-05 09:32  m  201.7391  70.0064
 2020-Dec-05 09:34  m  202.9981  69.8595
 2020-Dec-05 09:36  m  204.2406  69.7051
 2020-Dec-05 09:38  m  205.4660  69.5433
 2020-Dec-05 09:40  m  206.6741  69.3743
 2020-Dec-05 09:42  m  207.8644  69.1984
 2020-Dec-05 09:44  m  209.0369  69.0156
 2020-Dec-05 09:46  m  210.1912  68.8262
 2020-Dec-05 09:48  m  211.3272  68.6303
 2020-Dec-05 09:50  m  212.4449  68.4281
 2020-Dec-05 09:52  m  213.5442  68.2198
 2020-Dec-05 09:54  m  214.6252  68.0056
 2020-Dec-05 09:56  m  215.6877  67.7857
 2020-Dec-05 09:58  m  216.7321  67.5601
 2020-Dec-05 10:00  m  217.7582  67.3292
 2020-Dec-05 10:02  m  218.7663  67.0930
 2020-Dec-05 10:04  m  219.7566  66.8518
 2020-Dec-05 10:06  m  220.7292  66.6056
 2020-Dec-05 10:08  m  221.6844  66.3547
 2020-Dec-05 10:10  m  222.6224  66.0992
 2020-Dec-05 10:12  m  223.5434  65.8392
 2020-Dec-05 10:14  m  224.4477  65.5749
 2020-Dec-05 10:16  m  225.3356  65.3065
 2020-Dec-05 10:18  m  226.2074  65.0340
 2020-Dec-05 10:20  m  227.0634  64.7577
 2020-Dec-05 10:22  m  227.9039  64.4776
 2020-Dec-05 10:24  m  228.7292  64.1939
 2020-Dec-05 10:26  m  229.5396  63.9067
 2020-Dec-05 10:28  m  230.3354  63.6161
 2020-Dec-05 10:30  m  231.1170  63.3222
 2020-Dec-05 10:32 Am  231.8846  63.0252
 2020-Dec-05 10:34 Am  232.6387  62.7252
 2020-Dec-05 10:36 Am  233.3795  62.4222
 2020-Dec-05 10:38 Am  234.1072  62.1163
 2020-Dec-05 10:40 Am  234.8224  61.8077
 2020-Dec-05 10:42 Am  235.5252  61.4965
 2020-Dec-05 10:44 Am  236.2159  61.1828
 2020-Dec-05 10:46 Am  236.8949  60.8665
 2020-Dec-05 10:48 Am  237.5625  60.5479
 2020-Dec-05 10:50 Am  238.2189  60.2271
 2020-Dec-05 10:52 Am  238.8645  59.9040
 2020-Dec-05 10:54 Am  239.4995  59.5787
 2020-Dec-05 10:56 Am  240.1242  59.2514
 2020-Dec-05 10:58 Am  240.7389  58.9221
 2020-Dec-05 11:00 Am  241.3438  58.5909
 2020-Dec-05 11:02 Am  241.9392  58.2579
 2020-Dec-05 11:04 Nm  242.5254  57.9230
 2020-Dec-05 11:06 Nm  243.1026  57.5864
 2020-Dec-05 11:08 Nm  243.6711  57.2482
 2020-Dec-05 11:10 Nm  244.2310  56.9084
 2020-Dec-05 11:12 Nm  244.7826  56.5670
 2020-Dec-05 11:14 Nm  245.3262  56.2241
 2020-Dec-05 11:16 Nm  245.8619  55.8798
 2020-Dec-05 11:18 Nm  246.3900  55.5340
 2020-Dec-05 11:20 Nm  246.9107  55.1870
 2020-Dec-05 11:22 Nm  247.4242  54.8386
 2020-Dec-05 11:24 Nm  247.9306  54.4890
 2020-Dec-05 11:26 Nm  248.4302  54.1382
 2020-Dec-05 11:28 Nm  248.9232  53.7862
 2020-Dec-05 11:30 Nm  249.4097  53.4331
 2020-Dec-05 11:32 Nm  249.8899  53.0790
 2020-Dec-05 11:34 Nm  250.3640  52.7238
 2020-Dec-05 11:36 Nm  250.8322  52.3676
 2020-Dec-05 11:38 Cm  251.2945  52.0104
 2020-Dec-05 11:40 Cm  251.7513  51.6523
 2020-Dec-05 11:42 Cm  252.2025  51.2932
 2020-Dec-05 11:44 Cm  252.6485  50.9334
 2020-Dec-05 11:46 Cm  253.0892  50.5727
 2020-Dec-05 11:48 Cm  253.5249  50.2112
 2020-Dec-05 11:50 Cm  253.9557  49.8489
 2020-Dec-05 11:52 Cm  254.3818  49.4858
 2020-Dec-05 11:54 Cm  254.8032  49.1221
 2020-Dec-05 11:56 Cm  255.2201  48.7577
 2020-Dec-05 11:58 Cm  255.6326  48.3926
 2020-Dec-05 12:00 Cm  256.0408  48.0269
 2020-Dec-05 12:02 Cm  256.4449  47.6606
 2020-Dec-05 12:04 Cm  256.8449  47.2937
 2020-Dec-05 12:06 Cm  257.2410  46.9262
 2020-Dec-05 12:08 *m  257.6332  46.5582
 2020-Dec-05 12:10 *m  258.0218  46.1897
 2020-Dec-05 12:12 *m  258.4067  45.8206
 2020-Dec-05 12:14 *m  258.7881  45.4512
 2020-Dec-05 12:16 *m  259.1660  45.0812
 2020-Dec-05 12:18 *m  259.5406  44.7109
 2020-Dec-05 12:20 *m  259.9120  44.3401
 2020-Dec-05 12:22 *m  260.2802  43.9689
 2020-Dec-05 12:24 *m  260.6453  43.5974
