 20220101 07:52      94.8286 -35.6182
 20220101 07:54      95.1173 -35.2583
 20220101 07:56      95.4050 -34.8986
 20220101 07:58      95.6918 -34.5390
 20220101 08:00      95.9776 -34.1795
 20220101 08:02      96.2626 -33.8202
 20220101 08:04      96.5468 -33.4610
 20220101 08:06      96.8301 -33.1020
 20220101 08:08      97.1127 -32.7432
 20220101 08:10      97.3946 -32.3846
 20220101 08:12      97.6757 -32.0262
 20220101 08:14      97.9562 -31.6680
 20220101 08:16      98.2360 -31.3100
 20220101 08:18      98.5152 -30.9523
 20220101 08:20      98.7939 -30.5947
 20220101 08:22      99.0719 -30.2374
 20220101 08:24      99.3495 -29.8804
 20220101 08:26      99.6265 -29.5236
 20220101 08:28      99.9031 -29.1670
 20220101 08:30     100.1793 -28.8108
 20220101 08:32     100.4550 -28.4548
 20220101 08:34     100.7303 -28.0991
 20220101 08:36     101.0053 -27.7437
 20220101 08:38     101.2799 -27.3886
 20220101 08:40     101.5542 -27.0338
 20220101 08:42     101.8282 -26.6793
 20220101 08:44     102.1020 -26.3251
 20220101 08:46     102.3755 -25.9713
 20220101 08:48     102.6488 -25.6178
 20220101 08:50     102.9219 -25.2647
 20220101 08:52     103.1948 -24.9119
 20220101 08:54     103.4676 -24.5595
 20220101 08:56     103.7402 -24.2074
 20220101 08:58     104.0128 -23.8558
 20220101 09:00     104.2852 -23.5045
 20220101 09:02     104.5576 -23.1536
 20220101 09:04     104.8300 -22.8032
 20220101 09:06     105.1023 -22.4531
 20220101 09:08     105.3746 -22.1034
 20220101 09:10     105.6470 -21.7542
 20220101 09:12     105.9194 -21.4055
 20220101 09:14     106.1919 -21.0571
 20220101 09:16     106.4644 -20.7092
 20220101 09:18     106.7370 -20.3618
 20220101 09:20     107.0098 -20.0149
 20220101 09:22     107.2827 -19.6684
 20220101 09:24     107.5558 -19.3224
 20220101 09:26     107.8290 -18.9769
 20220101 09:28     108.1025 -18.6319
 20220101 09:30     108.3761 -18.2874
 20220101 09:32     108.6500 -17.9434
 20220101 09:34     108.9242 -17.6000
 20220101 09:36     109.1986 -17.2571
 20220101 09:38     109.4733 -16.9147
 20220101 09:40     109.7483 -16.5729
 20220101 09:42     110.0237 -16.2317
 20220101 09:44     110.2994 -15.8910
 20220101 09:46     110.5754 -15.5509
 20220101 09:48     110.8519 -15.2114
 20220101 09:50     111.1287 -14.8725
 20220101 09:52     111.4059 -14.5342
 20220101 09:54     111.6836 -14.1965
 20220101 09:56     111.9617 -13.8594
 20220101 09:58     112.2402 -13.5230
 20220101 10:00     112.5193 -13.1872
 20220101 10:02     112.7988 -12.8521
 20220101 10:04     113.0789 -12.5176
 20220101 10:06     113.3595 -12.1838
 20220101 10:08     113.6406 -11.8507
 20220101 10:10     113.9223 -11.5183
 20220101 10:12     114.2046 -11.1866
 20220101 10:14     114.4874 -10.8555
 20220101 10:16     114.7709 -10.5252
 20220101 10:18     115.0550 -10.1957
 20220101 10:20     115.3397  -9.8669
 20220101 10:22     115.6251  -9.5388
 20220101 10:24     115.9112  -9.2115
 20220101 10:26     116.1979  -8.8849
 20220101 10:28     116.4854  -8.5592
 20220101 10:30     116.7735  -8.2342
 20220101 10:32     117.0624  -7.9100
 20220101 10:34     117.3521  -7.5867
 20220101 10:36     117.6425  -7.2642
 20220101 10:38     117.9337  -6.9425
 20220101 10:40     118.2257  -6.6216
 20220101 10:42     118.5185  -6.3016
 20220101 10:44     118.8121  -5.9825
 20220101 10:46    119.1066  -5.6643
 20220101 10:48    119.4019  -5.3469
 20220101 10:50    119.6981  -5.0305
 20220101 10:52    119.9951  -4.7149
 20220101 10:54    120.2931  -4.4003
 20220101 10:56    120.5919  -4.0867
 20220101 10:58    120.8917  -3.7739
 20220101 11:00    121.1925  -3.4622
 20220101 11:02    121.4941  -3.1514
 20220101 11:04    121.7968  -2.8416
 20220101 11:06    122.1004  -2.5328
 20220101 11:08    122.4051  -2.2250
 20220101 11:10    122.7107  -1.9182
 20220101 11:12    123.0174  -1.6125
 20220101 11:14    123.3251  -1.3078
 20220101 11:16    123.6338  -1.0041
 20220101 11:18 r  123.9436  -0.7016
 20220101 11:20   124.2545  -0.4001
 20220101 11:22   124.5665  -0.0997
 20220101 11:24   124.8796   0.1995
 20220101 11:26   125.1938   0.4977
 20220101 11:28   125.5092   0.7947
 20220101 11:30   125.8256   1.0905
 20220101 11:32   126.1433   1.3852
 20220101 11:34   126.4621   1.6787
 20220101 11:36   126.7821   1.9710
 20220101 11:38   127.1033   2.2621
 20220101 11:40   127.4257   2.5520
 20220101 11:42   127.7493   2.8406
 20220101 11:44   128.0741   3.1280
 20220101 11:46   128.4002   3.4141
 20220101 11:48   128.7276   3.6989
 20220101 11:50   129.0562   3.9825
 20220101 11:52   129.3861   4.2647
 20220101 11:54   129.7173   4.5456
 20220101 11:56   130.0498   4.8252
 20220101 11:58   130.3836   5.1034
 20220101 12:00   130.7187   5.3802
 20220101 12:02   131.0552   5.6557
 20220101 12:04   131.3930   5.9297
 20220101 12:06   131.7322   6.2024
 20220101 12:08   132.0727   6.4736
 20220101 12:10   132.4146   6.7433
 20220101 12:12   132.7579   7.0116
 20220101 12:14   133.1026   7.2784
 20220101 12:16   133.4487   7.5437
 20220101 12:18   133.7963   7.8075
 20220101 12:20   134.1452   8.0697
 20220101 12:22   134.4956   8.3305
 20220101 12:24   134.8475   8.5896
 20220101 12:26   135.2008   8.8472
 20220101 12:28   135.5555   9.1032
 20220101 12:30   135.9118   9.3575
 20220101 12:32   136.2695   9.6102
 20220101 12:34   136.6287   9.8613
 20220101 12:36   136.9894  10.1107
 20220101 12:38   137.3516  10.3585
 20220101 12:40   137.7153  10.6045
 20220101 12:42   138.0805  10.8488
 20220101 12:44   138.4472  11.0914
 20220101 12:46   138.8155  11.3322
 20220101 12:48   139.1853  11.5713
 20220101 12:50   139.5566  11.8085
 20220101 12:52   139.9295  12.0440
 20220101 12:54   140.3039  12.2776
 20220101 12:56   140.6799  12.5094
 20220101 12:58   141.0575  12.7393
 20220101 13:00   141.4366  12.9674
 20220101 13:02   141.8172  13.1935
 20220101 13:04   142.1995  13.4177
 20220101 13:06   142.5833  13.6400
 20220101 13:08   142.9686  13.8604
 20220101 13:10   143.3556  14.0788
 20220101 13:12   143.7441  14.2951
 20220101 13:14   144.1342  14.5095
 20220101 13:16   144.5259  14.7219
 20220101 13:18   144.9192  14.9322
 20220101 13:20   145.3140  15.1404
 20220101 13:22   145.7104  15.3466
 20220101 13:24   146.1084  15.5506
 20220101 13:26   146.5080  15.7525
 20220101 13:28   146.9091  15.9523
 20220101 13:30   147.3118  16.1500
 20220101 13:32   147.7161  16.3454
 20220101 13:34   148.1219  16.5387
 20220101 13:36   148.5293  16.7297
 20220101 13:38   148.9383  16.9186
 20220101 13:40   149.3488  17.1051
 20220101 13:42   149.7608  17.2894
 20220101 13:44   150.1744  17.4714
 20220101 13:46   150.5896  17.6511
 20220101 13:48   151.0062  17.8285
 20220101 13:50   151.4244  18.0035
 20220101 13:52   151.8441  18.1762
 20220101 13:54   152.2652  18.3465
 20220101 13:56   152.6879  18.5144
 20220101 13:58   153.1121  18.6799
 20220101 14:00   153.5377  18.8429
 20220101 14:02   153.9648  19.0035
 20220101 14:04   154.3933  19.1616
 20220101 14:06   154.8233  19.3173
 20220101 14:08   155.2547  19.4704
 20220101 14:10   155.6875  19.6210
 20220101 14:12   156.1218  19.7691
 20220101 14:14   156.5574  19.9146
 20220101 14:16   156.9943  20.0575
 20220101 14:18   157.4326  20.1979
 20220101 14:20   157.8723  20.3356
 20220101 14:22   158.3133  20.4707
 20220101 14:24   158.7556  20.6032
 20220101 14:26   159.1991  20.7330
 20220101 14:28   159.6440  20.8602
 20220101 14:30   160.0901  20.9847
 20220101 14:32   160.5374  21.1064
 20220101 14:34   160.9859  21.2255
 20220101 14:36   161.4356  21.3418
 20220101 14:38   161.8865  21.4554
 20220101 14:40   162.3385  21.5662
 20220101 14:42   162.7916  21.6742
 20220101 14:44   163.2459  21.7795
 20220101 14:46   163.7012  21.8819
 20220101 14:48   164.1576  21.9815
 20220101 14:50   164.6149  22.0783
 20220101 14:52   165.0733  22.1723
 20220101 14:54   165.5327  22.2634
 20220101 14:56   165.9930  22.3516
 20220101 14:58   166.4542  22.4370
 20220101 15:00   166.9164  22.5195
 20220101 15:02   167.3794  22.5990
 20220101 15:04   167.8432  22.6757
 20220101 15:06   168.3078  22.7494
 20220101 15:08   168.7733  22.8202
 20220101 15:10   169.2394  22.8881
 20220101 15:12   169.7063  22.9530
 20220101 15:14   170.1739  23.0150
 20220101 15:16   170.6422  23.0739
 20220101 15:18   171.1110  23.1300
 20220101 15:20   171.5805  23.1830
 20220101 15:22   172.0505  23.2330
 20220101 15:24   172.5211  23.2800
 20220101 15:26   172.9922  23.3241
 20220101 15:28   173.4637  23.3651
 20220101 15:30   173.9357  23.4031
 20220101 15:32   174.4081  23.4380
 20220101 15:34   174.8808  23.4700
 20220101 15:36   175.3539  23.4989
 20220101 15:38   175.8273  23.5248
 20220101 15:40   176.3009  23.5476
 20220101 15:42   176.7748  23.5674
 20220101 15:44   177.2489  23.5842
 20220101 15:46   177.7231  23.5978
 20220101 15:48   178.1975  23.6085
 20220101 15:50   178.6719  23.6161
 20220101 15:52   179.1464  23.6206
 20220101 15:54   179.6210  23.6221
 20220101 15:56   180.0955  23.6206
 20220101 15:58   180.5700  23.6159
 20220101 16:00   181.0444  23.6083
 20220101 16:02   181.5187  23.5975
 20220101 16:04   181.9928  23.5838
 20220101 16:06   182.4667  23.5669
 20220101 16:08   182.9405  23.5471
 20220101 16:10   183.4139  23.5241
 20220101 16:12   183.8871  23.4982
 20220101 16:14   184.3600  23.4692
 20220101 16:16   184.8325  23.4372
 20220101 16:18   185.3046  23.4021
 20220101 16:20   185.7763  23.3641
 20220101 16:22   186.2475  23.3230
 20220101 16:24   186.7183  23.2789
 20220101 16:26   187.1885  23.2318
 20220101 16:28   187.6582  23.1817
 20220101 16:30   188.1273  23.1286
 20220101 16:32   188.5957  23.0725
 20220101 16:34   189.0635  23.0135
 20220101 16:36   189.5307  22.9514
 20220101 16:38   189.9971  22.8865
 20220101 16:40   190.4627  22.8186
 20220101 16:42   190.9276  22.7477
 20220101 16:44   191.3917  22.6739
 20220101 16:46   191.8550  22.5972
 20220101 16:48   192.3174  22.5176
 20220101 16:50   192.7789  22.4350
 20220101 16:52   193.2395  22.3496
 20220101 16:54   193.6991  22.2614
 20220101 16:56   194.1578  22.1702
 20220101 16:58   194.6155  22.0762
 20220101 17:00   195.0722  21.9794
 20220101 17:02   195.5278  21.8797
 20220101 17:04   195.9823  21.7772
 20220101 17:06   196.4358  21.6720
 20220101 17:08   196.8881  21.5639
 20220101 17:10   197.3393  21.4531
 20220101 17:12   197.7893  21.3395
 20220101 17:14   198.2381  21.2231
 20220101 17:16   198.6857  21.1041
 20220101 17:18   199.1321  20.9823
 20220101 17:20   199.5772  20.8578
 20220101 17:22   200.0211  20.7306
 20220101 17:24   200.4637  20.6008
 20220101 17:26   200.9050  20.4683
 20220101 17:28   201.3449  20.3332
 20220101 17:30   201.7835  20.1955
 20220101 17:32   202.2207  20.0551
 20220101 17:34   202.6566  19.9122
 20220101 17:36   203.0911  19.7667
 20220101 17:38   203.5241  19.6186
 20220101 17:40   203.9558  19.4681
 20220101 17:42   204.3860  19.3149
 20220101 17:44   204.8148  19.1593
 20220101 17:46   205.2421  19.0012
 20220101 17:48   205.6679  18.8407
 20220101 17:50   206.0922  18.6777
 20220101 17:52   206.5151  18.5122
 20220101 17:54   206.9364  18.3444
 20220101 17:56   207.3563  18.1742
 20220101 17:58   207.7746  18.0015
 20220101 18:00   208.1913  17.8266
 20220101 18:02   208.6066  17.6492
 20220101 18:04   209.0203  17.4696
 20220101 18:06   209.4324  17.2877
 20220101 18:08   209.8430  17.1034
 20220101 18:10   210.2519  16.9169
 20220101 18:12   210.6594  16.7282
 20220101 18:14   211.0652  16.5372
 20220101 18:16   211.4695  16.3440
 20220101 18:18   211.8721  16.1487
 20220101 18:20   212.2732  15.9511
 20220101 18:22   212.6727  15.7514
 20220101 18:24   213.0706  15.5496
 20220101 18:26   213.4669  15.3456
 20220101 18:28   213.8616  15.1396
 20220101 18:30   214.2547  14.9314
 20220101 18:32   214.6462  14.7213
 20220101 18:34   215.0361  14.5090
 20220101 18:36   215.4244  14.2948
 20220101 18:38   215.8110  14.0785
 20220101 18:40   216.1961  13.8603
 20220101 18:42   216.5796  13.6400
 20220101 18:44   216.9615  13.4179
 20220101 18:46   217.3418  13.1938
 20220101 18:48   217.7205  12.9678
 20220101 18:50   218.0976  12.7399
 20220101 18:52   218.4731  12.5101
 20220101 18:54   218.8471  12.2784
 20220101 18:56   219.2194  12.0449
 20220101 18:58   219.5902  11.8096
 20220101 19:00   219.9594  11.5725
 20220101 19:02   220.3271  11.3336
 20220101 19:04   220.6932  11.0930
 20220101 19:06   221.0577  10.8506
 20220101 19:08   221.4207  10.6064
 20220101 19:10   221.7822  10.3606
 20220101 19:12   222.1421  10.1130
 20220101 19:14   222.5005   9.8638
 20220101 19:16   222.8573   9.6129
 20220101 19:18   223.2127   9.3603
 20220101 19:20   223.5665   9.1061
 20220101 19:22   223.9189   8.8504
 20220101 19:24   224.2697   8.5930
 20220101 19:26   224.6191   8.3340
 20220101 19:28   224.9670   8.0735
 20220101 19:30   225.3134   7.8114
 20220101 19:32   225.6584   7.5478
 20220101 19:34   226.0019   7.2827
 20220101 19:36   226.3440   7.0161
 20220101 19:38   226.6847   6.7480
 20220101 19:40   227.0239   6.4785
 20220101 19:42   227.3618   6.2075
 20220101 19:44   227.6982   5.9351
 20220101 19:46   228.0332   5.6612
 20220101 19:48   228.3669   5.3860
 20220101 19:50   228.6992   5.1094
 20220101 19:52   229.0301   4.8314
 20220101 19:54   229.3597   4.5520
 20220101 19:56   229.6880   4.2713
 20220101 19:58   230.0149   3.9893
 20220101 20:00   230.3405   3.7060
 20220101 20:02   230.6648   3.4214
 20220101 20:04   230.9879   3.1355
 20220101 20:06   231.3096   2.8483
 20220101 20:08   231.6301   2.5599
 20220101 20:10   231.9493   2.2703
 20220101 20:12   232.2673   1.9794
 20220101 20:14   232.5840   1.6873
 20220101 20:16   232.8996   1.3941
 20220101 20:18   233.2139   1.0996
 20220101 20:20   233.5270   0.8040
 20220101 20:22   233.8390   0.5072
 20220101 20:24   234.1498   0.2093
 20220101 20:26   234.4594  -0.0897
 20220101 20:28   234.7679  -0.3899
 20220101 20:30   235.0752  -0.6911
 20220101 20:32 s  235.3814  -0.9934
 20220101 20:34    235.6866  -1.2968
 20220101 20:36    235.9906  -1.6013
 20220101 20:38    236.2936  -1.9068
 20220101 20:40    236.5955  -2.2134
 20220101 20:42    236.8963  -2.5210
 20220101 20:44    237.1961  -2.8295
 20220101 20:46    237.4949  -3.1391
 20220101 20:48    237.7927  -3.4497
 20220101 20:50    238.0894  -3.7612
 20220101 20:52    238.3852  -4.0737
 20220101 20:54    238.6800  -4.3872
 20220101 20:56    238.9739  -4.7016
 20220101 20:58    239.2668  -5.0169
 20220101 21:00    239.5588  -5.3332
 20220101 21:02    239.8499  -5.6503
 20220101 21:04    240.1400  -5.9684
 20220101 21:06    240.4293  -6.2873
 20220101 21:08    240.7177  -6.6071
 20220101 21:10    241.0053  -6.9277
 20220101 21:12    241.2920  -7.2492
 20220101 21:14    241.5779  -7.5716
 20220101 21:16    241.8629  -7.8947
 20220101 21:18    242.1472  -8.2187
 20220101 21:20    242.4307  -8.5435
 20220101 21:22    242.7134  -8.8691
 20220101 21:24    242.9953  -9.1955
 20220101 21:26    243.2765  -9.5226
 20220101 21:28    243.5570  -9.8505
 20220101 21:30    243.8367 -10.1792
 20220101 21:32    244.1158 -10.5086
 20220101 21:34    244.3942 -10.8387
 20220101 21:36    244.6719 -11.1696
 20220101 21:38    244.9489 -11.5012
 20220101 21:40    245.2254 -11.8335
 20220101 21:42    245.5012 -12.1665
 20220101 21:44    245.7764 -12.5002
 20220101 21:46    246.0509 -12.8345
 20220101 21:48    246.3250 -13.1696
 20220101 21:50    246.5984 -13.5053
 20220101 21:52    246.8713 -13.8416
 20220101 21:54    247.1437 -14.1786
 20220101 21:56    247.4156 -14.5162
 20220101 21:58    247.6870 -14.8544
 20220101 22:00    247.9578 -15.1933
 20220101 22:02    248.2283 -15.5327
 20220101 22:04    248.4982 -15.8728
 20220101 22:06    248.7678 -16.2134
 20220101 22:08    249.0369 -16.5546
 20220101 22:10    249.3056 -16.8964
 20220101 22:12    249.5739 -17.2388
 20220101 22:14    249.8419 -17.5817
 20220101 22:16    250.1095 -17.9252
 20220101 22:18    250.3768 -18.2692
 20220101 22:20    250.6437 -18.6137
 20220101 22:22    250.9104 -18.9587
 20220101 22:24    251.1768 -19.3043
 20220101 22:26    251.4429 -19.6504
 20220101 22:28    251.7088 -19.9969
 20220101 22:30    251.9744 -20.3440
 20220101 22:32    252.2398 -20.6915
 20220101 22:34    252.5051 -21.0395
 20220101 22:36    252.7701 -21.3880
 20220101 22:38    253.0350 -21.7369
 20220101 22:40    253.2998 -22.0863
 20220101 22:42    253.5644 -22.4361
 20220101 22:44    253.8290 -22.7864
 20220101 22:46    254.0934 -23.1371
 20220101 22:48    254.3578 -23.4882
 20220101 22:50    254.6222 -23.8397
 20220101 22:52    254.8865 -24.1916
 20220101 22:54    255.1509 -24.5439
 20220101 22:56    255.4152 -24.8967
 20220101 22:58    255.6796 -25.2497
 20220101 23:00    255.9441 -25.6032
 20220101 23:02    256.2086 -25.9571
 20220101 23:04    256.4732 -26.3113
 20220101 23:06    256.7380 -26.6658
 20220101 23:08    257.0029 -27.0207
 20220101 23:10    257.2680 -27.3759
