 20190501 11:08   120.3960  24.7105
 20190501 11:10   120.7945  25.0379
 20190501 11:12   121.1954  25.3640
 20190501 11:14   121.5987  25.6887
 20190501 11:16   122.0046  26.0121
 20190501 11:18   122.4130  26.3342
 20190501 11:20   122.8239  26.6548
 20190501 11:22   123.2375  26.9740
 20190501 11:24   123.6537  27.2918
 20190501 11:26   124.0725  27.6081
 20190501 11:28   124.4941  27.9229
 20190501 11:30   124.9184  28.2362
 20190501 11:32   125.3455  28.5479
 20190501 11:34   125.7754  28.8581
 20190501 11:36   126.2081  29.1666
 20190501 11:38   126.6438  29.4735
 20190501 11:40   127.0823  29.7787
 20190501 11:42   127.5238  30.0822
 20190501 11:44   127.9683  30.3840
 20190501 11:46   128.4158  30.6841
 20190501 11:48   128.8664  30.9823
 20190501 11:50   129.3201  31.2788
 20190501 11:52   129.7769  31.5733
 20190501 11:54   130.2369  31.8660
 20190501 11:56   130.7000  32.1568
 20190501 11:58   131.1664  32.4457
 20190501 12:00   131.6361  32.7325
 20190501 12:02   132.1090  33.0173
 20190501 12:04   132.5853  33.3001
 20190501 12:06   133.0649  33.5809
 20190501 12:08   133.5479  33.8594
 20190501 12:10   134.0343  34.1359
 20190501 12:12   134.5242  34.4101
 20190501 12:14   135.0175  34.6822
 20190501 12:16   135.5143  34.9519
 20190501 12:18   136.0147  35.2194
 20190501 12:20   136.5186  35.4846
 20190501 12:22   137.0261  35.7473
 20190501 12:24   137.5371  36.0077
 20190501 12:26   138.0518  36.2656
 20190501 12:28   138.5702  36.5210
 20190501 12:30   139.0922  36.7739
 20190501 12:32   139.6179  37.0243
 20190501 12:34   140.1473  37.2720
 20190501 12:36   140.6804  37.5171
 20190501 12:38   141.2172  37.7595
 20190501 12:40   141.7578  37.9992
 20190501 12:42   142.3022  38.2361
 20190501 12:44   142.8503  38.4702
 20190501 12:46   143.4022  38.7015
 20190501 12:48   143.9579  38.9299
 20190501 12:50   144.5174  39.1554
 20190501 12:52   145.0807  39.3779
 20190501 12:54   145.6478  39.5973
 20190501 12:56   146.2187  39.8138
 20190501 12:58   146.7934  40.0271
 20190501 13:00   147.3719  40.2373
 20190501 13:02   147.9541  40.4443
 20190501 13:04   148.5402  40.6481
 20190501 13:06   149.1300  40.8486
 20190501 13:08   149.7236  41.0458
 20190501 13:10   150.3209  41.2397
 20190501 13:12   150.9219  41.4301
 20190501 13:14   151.5266  41.6172
 20190501 13:16   152.1350  41.8007
 20190501 13:18   152.7471  41.9808
 20190501 13:20   153.3627  42.1572
 20190501 13:22   153.9820  42.3301
 20190501 13:24   154.6048  42.4994
 20190501 13:26   155.2311  42.6649
 20190501 13:28   155.8609  42.8267
 20190501 13:30   156.4942  42.9848
 20190501 13:32   157.1308  43.1391
 20190501 13:34   157.7708  43.2895
 20190501 13:36   158.4140  43.4360
 20190501 13:38   159.0605  43.5786
 20190501 13:40   159.7102  43.7173
 20190501 13:42   160.3630  43.8520
 20190501 13:44   161.0188  43.9826
 20190501 13:46   161.6776  44.1092
 20190501 13:48   162.3394  44.2316
 20190501 13:50   163.0039  44.3499
 20190501 13:52   163.6713  44.4641
 20190501 13:54   164.3413  44.5741
 20190501 13:56   165.0139  44.6798
 20190501 13:58   165.6891  44.7812
 20190501 14:00   166.3667  44.8784
 20190501 14:02   167.0466  44.9712
 20190501 14:04   167.7288  45.0597
 20190501 14:06   168.4131  45.1438
 20190501 14:08   169.0995  45.2236
 20190501 14:10   169.7879  45.2988
 20190501 14:12   170.4781  45.3697
 20190501 14:14   171.1700  45.4360
 20190501 14:16   171.8636  45.4979
 20190501 14:18   172.5588  45.5553
 20190501 14:20   173.2554  45.6081
 20190501 14:22   173.9532  45.6564
 20190501 14:24   174.6523  45.7001
 20190501 14:26   175.3525  45.7393
 20190501 14:28   176.0536  45.7738
 20190501 14:30   176.7556  45.8038
 20190501 14:32   177.4583  45.8292
 20190501 14:34   178.1617  45.8499
 20190501 14:36   178.8655  45.8661
 20190501 14:38   179.5697  45.8776
 20190501 14:40   180.2741  45.8844
 20190501 14:42   180.9787  45.8867
 20190501 14:44   181.6832  45.8843
 20190501 14:46   182.3877  45.8773
 20190501 14:48   183.0919  45.8656
 20190501 14:50   183.7957  45.8494
 20190501 14:52   184.4991  45.8285
 20190501 14:54   185.2018  45.8030
 20190501 14:56   185.9038  45.7729
 20190501 14:58   186.6050  45.7382
 20190501 15:00   187.3052  45.6989
 20190501 15:02   188.0044  45.6551
 20190501 15:04   188.7023  45.6067
 20190501 15:06   189.3990  45.5538
 20190501 15:08   190.0942  45.4963
 20190501 15:10   190.7879  45.4344
 20190501 15:12   191.4800  45.3680
 20190501 15:14   192.1703  45.2971
 20190501 15:16   192.8588  45.2218
 20190501 15:18   193.5453  45.1420
 20190501 15:20   194.2298  45.0579
 20190501 15:22   194.9121  44.9694
 20190501 15:24   195.5923  44.8766
 20190501 15:26   196.2700  44.7795
 20190501 15:28   196.9454  44.6780
 20190501 15:30   197.6182  44.5724
 20190501 15:32   198.2885  44.4625
 20190501 15:34   198.9561  44.3485
 20190501 15:36   199.6210  44.2302
 20190501 15:38   200.2830  44.1079
 20190501 15:40   200.9421  43.9815
 20190501 15:42   201.5983  43.8510
 20190501 15:44   202.2514  43.7166
 20190501 15:46   202.9015  43.5781
 20190501 15:48   203.5484  43.4358
 20190501 15:50   204.1921  43.2895
 20190501 15:52   204.8325  43.1393
 20190501 15:54   205.4696  42.9854
 20190501 15:56   206.1033  42.8276
 20190501 15:58   206.7337  42.6662
 20190501 16:00   207.3606  42.5010
 20190501 16:02   207.9840  42.3321
 20190501 16:04   208.6039  42.1597
 20190501 16:06   209.2202  41.9837
 20190501 16:08   209.8329  41.8041
 20190501 16:10   210.4420  41.6210
 20190501 16:12   211.0475  41.4345
 20190501 16:14   211.6493  41.2446
 20190501 16:16   212.2474  41.0513
 20190501 16:18   212.8419  40.8547
 20190501 16:20   213.4326  40.6548
 20190501 16:22   214.0196  40.4517
 20190501 16:24   214.6028  40.2454
 20190501 16:26   215.1823  40.0359
 20190501 16:28   215.7580  39.8234
 20190501 16:30   216.3300  39.6077
 20190501 16:32   216.8982  39.3890
 20190501 16:34   217.4627  39.1674
 20190501 16:36   218.0234  38.9428
 20190501 16:38   218.5804  38.7153
 20190501 16:40   219.1336  38.4850
 20190501 16:42   219.6831  38.2518
 20190501 16:44   220.2288  38.0159
 20190501 16:46   220.7708  37.7772
 20190501 16:48   221.3092  37.5358
 20190501 16:50   221.8438  37.2918
 20190501 16:52   222.3748  37.0452
 20190501 16:54   222.9021  36.7960
 20190501 16:56   223.4258  36.5443
 20190501 16:58   223.9459  36.2901
 20190501 17:00   224.4624  36.0334
 20190501 17:02   224.9753  35.7743
 20190501 17:04   225.4846  35.5129
 20190501 17:06   225.9905  35.2491
 20190501 17:08   226.4928  34.9830
 20190501 17:10   226.9917  34.7146
 20190501 17:12   227.4871  34.4440
 20190501 17:14   227.9791  34.1712
 20190501 17:16   228.4677  33.8963
 20190501 17:18   228.9529  33.6193
 20190501 17:20   229.4348  33.3401
 20190501 17:22   229.9134  33.0590
 20190501 17:24   230.3888  32.7758
 20190501 17:26   230.8609  32.4906
 20190501 17:28   231.3298  32.2035
 20190501 17:30   231.7955  31.9144
 20190501 17:32   232.2581  31.6235
 20190501 17:34   232.7176  31.3308
 20190501 17:36   233.1740  31.0362
 20190501 17:38   233.6274  30.7399
 20190501 17:40   234.0778  30.4417
 20190501 17:42   234.5252  30.1419
 20190501 17:44   234.9697  29.8404
 20190501 17:46   235.4113  29.5372
 20190501 17:48   235.8500  29.2324
 20190501 17:50   236.2859  28.9260
 20190501 17:52   236.7190  28.6180
 20190501 17:54   237.1494  28.3085
 20190501 17:56   237.5770  27.9975
 20190501 17:58   238.0020  27.6849
 20190501 18:00   238.4243  27.3709
 20190501 18:02   238.8440  27.0555
 20190501 18:04   239.2612  26.7387
 20190501 18:06   239.6758  26.4204
 20190501 18:08   240.0878  26.1009
 20190501 18:10   240.4975  25.7800
 20190501 18:12   240.9047  25.4578
 20190501 18:14   241.3095  25.1343
 20190501 18:16   241.7119  24.8095
 20190501 18:18   242.1121  24.4835
 20190501 18:20   242.5099  24.1564
 20190501 18:22   242.9055  23.8280
 20190501 18:24   243.2989  23.4985
 20190501 18:26   243.6901  23.1678
 20190501 18:28   244.0791  22.8360
 20190501 18:30   244.4661  22.5031
 20190501 18:32   244.8509  22.1692
 20190501 18:34   245.2338  21.8342
 20190501 18:36   245.6146  21.4982
 20190501 18:38   245.9935  21.1611
 20190501 18:40   246.3704  20.8231
 20190501 18:42   246.7454  20.4841
 20190501 18:44   247.1185  20.1442
 20190501 18:46   247.4899  19.8033
 20190501 18:48   247.8594  19.4615
 20190501 18:50   248.2271  19.1189
 20190501 18:52   248.5931  18.7753
 20190501 18:54   248.9574  18.4309
 20190501 18:56   249.3201  18.0857
 20190501 18:58   249.6811  17.7397
 20190501 19:00   250.0405  17.3929
 20190501 19:02   250.3983  17.0453
 20190501 19:04   250.7546  16.6969
 20190501 19:06   251.1094  16.3478
 20190501 19:08   251.4627  15.9980
 20190501 19:10   251.8145  15.6475
 20190501 19:12   252.1650  15.2962
 20190501 19:14   252.5141  14.9443
 20190501 19:16   252.8618  14.5918
 20190501 19:18   253.2082  14.2386
 20190501 19:20   253.5533  13.8847
 20190501 19:22   253.8971  13.5303
 20190501 19:24   254.2397  13.1752
 20190501 19:26   254.5812  12.8196
 20190501 19:28   254.9214  12.4634
 20190501 19:30   255.2605  12.1067
 20190501 19:32   255.5985  11.7495
 20190501 19:34   255.9354  11.3917
 20190501 19:36   256.2713  11.0334
 20190501 19:38   256.6061  10.6746
 20190501 19:40   256.9400  10.3153
 20190501 19:42   257.2729   9.9556
 20190501 19:44   257.6048   9.5955
 20190501 19:46   257.9359   9.2349
 20190501 19:48   258.2660   8.8738
 20190501 19:50   258.5953   8.5124
 20190501 19:52   258.9238   8.1506
 20190501 19:54   259.2515   7.7884
 20190501 19:56   259.5784   7.4258
 20190501 19:58   259.9046   7.0629
 20190501 20:00   260.2301   6.6996
 20190501 20:02   260.5549   6.3360
 20190501 20:04   260.8790   5.9721
 20190501 20:06   261.2025   5.6079
 20190501 20:08   261.5254   5.2434
 20190501 20:10   261.8477   4.8787
 20190501 20:12   262.1695   4.5136
 20190501 20:14   262.4908   4.1483
 20190501 20:16   262.8115   3.7828
 20190501 20:18   263.1318   3.4171
 20190501 20:20   263.4517   3.0511
 20190501 20:22   263.7711   2.6849
 20190501 20:24   264.0901   2.3185
 20190501 20:26   264.4088   1.9520
 20190501 20:28   264.7272   1.5853
 20190501 20:30   265.0452   1.2184
 20190501 20:32   265.3630   0.8514
 20190501 20:34   265.6805   0.4843
 20190501 20:36   265.9978   0.1170
 20190501 20:38   266.3148  -0.2503
 20190501 20:40   266.6317  -0.6178
 20190501 20:42 s  266.9485  -0.9854
 20190501 20:44    267.2651  -1.3530
 20190501 20:46    267.5817  -1.7207
 20190501 20:48    267.8981  -2.0884
 20190501 20:50    268.2145  -2.4562
 20190501 20:52    268.5309  -2.8240
 20190501 20:54    268.8473  -3.1918
 20190501 20:56    269.1638  -3.5596
 20190501 20:58    269.4803  -3.9274
 20190501 21:00    269.7969  -4.2952
 20190501 21:02    270.1136  -4.6630
 20190501 21:04    270.4304  -5.0307
 20190501 21:06    270.7475  -5.3983
 20190501 21:08    271.0647  -5.7659
 20190501 21:10    271.3821  -6.1335
 20190501 21:12    271.6998  -6.5009
 20190501 21:14    272.0178  -6.8682
 20190501 21:16    272.3360  -7.2355
 20190501 21:18    272.6546  -7.6026
 20190501 21:20    272.9736  -7.9695
 20190501 21:22    273.2929  -8.3363
 20190501 21:24    273.6127  -8.7030
 20190501 21:26    273.9328  -9.0695
 20190501 21:28    274.2535  -9.4358
 20190501 21:30    274.5747  -9.8019
 20190501 21:32    274.8963 -10.1678
 20190501 21:34    275.2186 -10.5335
 20190501 21:36    275.5414 -10.8990
 20190501 21:38    275.8648 -11.2642
 20190501 21:40    276.1888 -11.6291
 20190501 21:42    276.5136 -11.9938
 20190501 21:44    276.8390 -12.3583
 20190501 21:46    277.1651 -12.7224
 20190501 21:48    277.4920 -13.0862
 20190501 21:50    277.8197 -13.4497
 20190501 21:52    278.1482 -13.8129
 20190501 21:54    278.4775 -14.1757
 20190501 21:56    278.8077 -14.5382
 20190501 21:58    279.1388 -14.9003
 20190501 22:00    279.4708 -15.2620
 20190501 22:02    279.8038 -15.6234
 20190501 22:04    280.1378 -15.9843
 20190501 22:06    280.4728 -16.3448
 20190501 22:08    280.8089 -16.7049
 20190501 22:10    281.1461 -17.0645
 20190501 22:12    281.4844 -17.4236
 20190501 22:14    281.8238 -17.7823
 20190501 22:16    282.1644 -18.1405
 20190501 22:18    282.5063 -18.4982
 20190501 22:20    282.8493 -18.8553
 20190501 22:22    283.1937 -19.2119
 20190501 22:24    283.5394 -19.5680
 20190501 22:26    283.8864 -19.9235
 20190501 22:28    284.2349 -20.2785
 20190501 22:30    284.5847 -20.6328
 20190501 22:32    284.9360 -20.9865
 20190501 22:34    285.2888 -21.3396
 20190501 22:36    285.6431 -21.6920
 20190501 22:38    285.9990 -22.0438
 20190501 22:40    286.3564 -22.3949
 20190501 22:42    286.7155 -22.7454
 20190501 22:44    287.0763 -23.0951
 20190501 22:46    287.4387 -23.4440
 20190501 22:48    287.8030 -23.7923
 20190501 22:50    288.1689 -24.1398
 20190501 22:52    288.5367 -24.4865
 20190501 22:54    288.9064 -24.8323
 20190501 22:56    289.2780 -25.1774
 20190501 22:58    289.6515 -25.5217
 20190501 23:00    290.0269 -25.8651
 20190501 23:02    290.4044 -26.2076
 20190501 23:04    290.7839 -26.5492
 20190501 23:06    291.1655 -26.8899
 20190501 23:08    291.5493 -27.2297
 20190501 23:10    291.9352 -27.5685
 20190501 23:12    292.3233 -27.9064
 20190501 23:14    292.7137 -28.2433
 20190501 23:16    293.1064 -28.5791
 20190501 23:18    293.5015 -28.9139
 20190501 23:20    293.8989 -29.2476
 20190501 23:22    294.2987 -29.5803
 20190501 23:24    294.7011 -29.9119
 20190501 23:26    295.1059 -30.2423
 20190501 23:28    295.5133 -30.5716
 20190501 23:30    295.9233 -30.8997
 20190501 23:32    296.3359 -31.2266
 20190501 23:34    296.7512 -31.5523
 20190501 23:36    297.1693 -31.8767
 20190501 23:38    297.5901 -32.1999
 20190501 23:40    298.0138 -32.5217
 20190501 23:42    298.4404 -32.8423
 20190501 23:44    298.8698 -33.1615
 20190501 23:46    299.3023 -33.4793
 20190501 23:48    299.7377 -33.7956
 20190501 23:50    300.1762 -34.1106
 20190501 23:52    300.6178 -34.4241
