 2017-Sep-05 05:38  m  202.5027  33.7192
 2017-Sep-05 05:40  m  203.0518  33.5807
 2017-Sep-05 05:42  m  203.5988  33.4388
 2017-Sep-05 05:44  m  204.1437  33.2938
 2017-Sep-05 05:46  m  204.6864  33.1455
 2017-Sep-05 05:48  m  205.2269  32.9941
 2017-Sep-05 05:50  m  205.7652  32.8395
 2017-Sep-05 05:52  m  206.3012  32.6818
 2017-Sep-05 05:54  m  206.8350  32.5210
 2017-Sep-05 05:56  m  207.3665  32.3571
 2017-Sep-05 05:58  m  207.8957  32.1902
 2017-Sep-05 06:00  m  208.4225  32.0203
 2017-Sep-05 06:02  m  208.9470  31.8473
 2017-Sep-05 06:04  m  209.4692  31.6715
 2017-Sep-05 06:06  m  209.9889  31.4927
 2017-Sep-05 06:08  m  210.5062  31.3109
 2017-Sep-05 06:10  m  211.0212  31.1264
 2017-Sep-05 06:12  m  211.5337  30.9389
 2017-Sep-05 06:14  m  212.0437  30.7487
 2017-Sep-05 06:16  m  212.5513  30.5557
 2017-Sep-05 06:18  m  213.0565  30.3599
 2017-Sep-05 06:20  m  213.5591  30.1614
 2017-Sep-05 06:22  m  214.0593  29.9602
 2017-Sep-05 06:24  m  214.5571  29.7564
 2017-Sep-05 06:26  m  215.0523  29.5499
 2017-Sep-05 06:28  m  215.5451  29.3408
 2017-Sep-05 06:30  m  216.0353  29.1291
 2017-Sep-05 06:32  m  216.5231  28.9149
 2017-Sep-05 06:34  m  217.0084  28.6981
 2017-Sep-05 06:36  m  217.4912  28.4789
 2017-Sep-05 06:38  m  217.9715  28.2572
 2017-Sep-05 06:40  m  218.4493  28.0330
 2017-Sep-05 06:42  m  218.9247  27.8065
 2017-Sep-05 06:44  m  219.3976  27.5775
 2017-Sep-05 06:46  m  219.8680  27.3463
 2017-Sep-05 06:48  m  220.3359  27.1127
 2017-Sep-05 06:50  m  220.8014  26.8768
 2017-Sep-05 06:52  m  221.2644  26.6387
 2017-Sep-05 06:54  m  221.7249  26.3983
 2017-Sep-05 06:56  m  222.1831  26.1557
 2017-Sep-05 06:58  m  222.6388  25.9110
 2017-Sep-05 07:00  m  223.0921  25.6641
 2017-Sep-05 07:02  m  223.5430  25.4150
 2017-Sep-05 07:04  m  223.9915  25.1639
 2017-Sep-05 07:06  m  224.4377  24.9107
 2017-Sep-05 07:08  m  224.8814  24.6555
 2017-Sep-05 07:10  m  225.3229  24.3982
 2017-Sep-05 07:12  m  225.7619  24.1390
 2017-Sep-05 07:14  m  226.1987  23.8778
 2017-Sep-05 07:16  m  226.6331  23.6147
 2017-Sep-05 07:18  m  227.0653  23.3496
 2017-Sep-05 07:20  m  227.4952  23.0827
 2017-Sep-05 07:22  m  227.9228  22.8139
 2017-Sep-05 07:24  m  228.3482  22.5433
 2017-Sep-05 07:26  m  228.7714  22.2709
 2017-Sep-05 07:28  m  229.1923  21.9967
 2017-Sep-05 07:30  m  229.6111  21.7207
 2017-Sep-05 07:32  m  230.0277  21.4430
 2017-Sep-05 07:34  m  230.4421  21.1636
 2017-Sep-05 07:36  m  230.8544  20.8825
 2017-Sep-05 07:38  m  231.2646  20.5998
 2017-Sep-05 07:40  m  231.6727  20.3154
 2017-Sep-05 07:42  m  232.0787  20.0294
 2017-Sep-05 07:44  m  232.4827  19.7418
 2017-Sep-05 07:46  m  232.8847  19.4527
 2017-Sep-05 07:48  m  233.2846  19.1620
 2017-Sep-05 07:50  m  233.6826  18.8698
 2017-Sep-05 07:52  m  234.0785  18.5760
 2017-Sep-05 07:54  m  234.4726  18.2809
 2017-Sep-05 07:56  m  234.8647  17.9842
 2017-Sep-05 07:58  m  235.2548  17.6861
 2017-Sep-05 08:00  m  235.6432  17.3866
 2017-Sep-05 08:02  m  236.0296  17.0857
 2017-Sep-05 08:04  m  236.4142  16.7835
 2017-Sep-05 08:06  m  236.7970  16.4799
 2017-Sep-05 08:08  m  237.1780  16.1749
 2017-Sep-05 08:10  m  237.5572  15.8687
 2017-Sep-05 08:12  m  237.9347  15.5612
 2017-Sep-05 08:14  m  238.3105  15.2524
 2017-Sep-05 08:16  m  238.6845  14.9423
 2017-Sep-05 08:18  m  239.0569  14.6310
 2017-Sep-05 08:20  m  239.4276  14.3186
 2017-Sep-05 08:22  m  239.7967  14.0049
 2017-Sep-05 08:24  m  240.1642  13.6900
 2017-Sep-05 08:26  m  240.5300  13.3740
 2017-Sep-05 08:28  m  240.8943  13.0569
 2017-Sep-05 08:30  m  241.2571  12.7386
 2017-Sep-05 08:32  m  241.6184  12.4193
 2017-Sep-05 08:34  m  241.9781  12.0988
 2017-Sep-05 08:36  m  242.3364  11.7773
 2017-Sep-05 08:38  m  242.6932  11.4548
 2017-Sep-05 08:40  m  243.0486  11.1312
 2017-Sep-05 08:42  m  243.4026  10.8067
 2017-Sep-05 08:44  m  243.7552  10.4811
 2017-Sep-05 08:46  m  244.1065  10.1545
 2017-Sep-05 08:48  m  244.4564   9.8270
 2017-Sep-05 08:50  m  244.8050   9.4986
 2017-Sep-05 08:52  m  245.1524   9.1692
 2017-Sep-05 08:54  m  245.4984   8.8389
 2017-Sep-05 08:56  m  245.8433   8.5077
 2017-Sep-05 08:58  m  246.1869   8.1756
 2017-Sep-05 09:00  m  246.5293   7.8427
 2017-Sep-05 09:02  m  246.8706   7.5089
 2017-Sep-05 09:04  m  247.2107   7.1743
 2017-Sep-05 09:06  m  247.5496   6.8389
 2017-Sep-05 09:08 Am  247.8875   6.5026
 2017-Sep-05 09:10 Am  248.2243   6.1656
 2017-Sep-05 09:12 Am  248.5601   5.8278
 2017-Sep-05 09:14 Am  248.8948   5.4892
 2017-Sep-05 09:16 Am  249.2285   5.1499
 2017-Sep-05 09:18 Am  249.5612   4.8099
 2017-Sep-05 09:20 Am  249.8930   4.4691
 2017-Sep-05 09:22 Am  250.2238   4.1277
 2017-Sep-05 09:24 Am  250.5537   3.7855
 2017-Sep-05 09:26 Am  250.8828   3.4427
 2017-Sep-05 09:28 Am  251.2109   3.0992
 2017-Sep-05 09:30 Am  251.5382   2.7551
 2017-Sep-05 09:32 Am  251.8647   2.4103
 2017-Sep-05 09:34 Am  252.1904   2.0649
 2017-Sep-05 09:36 Am  252.5153   1.7189
 2017-Sep-05 09:38 Am  252.8395   1.3723
 2017-Sep-05 09:40 Am  253.1629   1.0252
 2017-Sep-05 09:42 Nm  253.4857   0.6774
 2017-Sep-05 09:44 Nm  253.8077   0.3291
 2017-Sep-05 09:46 Nm  254.1291  -0.0197
 2017-Sep-05 09:48 Nm  254.4498  -0.3691
 2017-Sep-05 09:50 Nm  254.7700  -0.7190
 2017-Sep-05 09:52 Ns  255.0895  -1.0694
 2017-Sep-05 09:54 N   255.4085  -1.4203
 2017-Sep-05 09:56 N   255.7269  -1.7717
 2017-Sep-05 09:58 N   256.0449  -2.1236
 2017-Sep-05 10:00 N   256.3623  -2.4759
 2017-Sep-05 10:02 N   256.6792  -2.8287
 2017-Sep-05 10:04 N   256.9957  -3.1819
 2017-Sep-05 10:06 N   257.3118  -3.5355
 2017-Sep-05 10:08 N   257.6275  -3.8895
 2017-Sep-05 10:10 N   257.9428  -4.2439
 2017-Sep-05 10:12 N   258.2577  -4.5988
 2017-Sep-05 10:14 N   258.5723  -4.9540
 2017-Sep-05 10:16 C   258.8866  -5.3095
 2017-Sep-05 10:18 C   259.2006  -5.6654
 2017-Sep-05 10:20 C   259.5144  -6.0217
 2017-Sep-05 10:22 C   259.8279  -6.3783
 2017-Sep-05 10:24 C   260.1412  -6.7352
 2017-Sep-05 10:26 C   260.4543  -7.0924
 2017-Sep-05 10:28 C   260.7673  -7.4500
 2017-Sep-05 10:30 C   261.0801  -7.8078
 2017-Sep-05 10:32 C   261.3928  -8.1658
 2017-Sep-05 10:34 C   261.7054  -8.5242
 2017-Sep-05 10:36 C   262.0179  -8.8828
 2017-Sep-05 10:38 C   262.3304  -9.2416
 2017-Sep-05 10:40 C   262.6429  -9.6007
 2017-Sep-05 10:42 C   262.9554  -9.9600
 2017-Sep-05 10:44 *   263.2679 -10.3195
 2017-Sep-05 10:46 *   263.5805 -10.6792
 2017-Sep-05 10:48 *   263.8931 -11.0391
 2017-Sep-05 10:50 *   264.2059 -11.3992
 2017-Sep-05 10:52 *   264.5188 -11.7594
 2017-Sep-05 10:54 *   264.8319 -12.1198
 2017-Sep-05 10:56 *   265.1451 -12.4804
 2017-Sep-05 10:58 *   265.4586 -12.8411
 2017-Sep-05 11:00 *   265.7723 -13.2019
 2017-Sep-05 11:02 *   266.0862 -13.5628
 2017-Sep-05 11:04 *   266.4005 -13.9238
 2017-Sep-05 11:06 *   266.7151 -14.2849
 2017-Sep-05 11:08 *   267.0300 -14.6461
 2017-Sep-05 11:10 *   267.3453 -15.0073
 2017-Sep-05 11:12 *   267.6610 -15.3686
 2017-Sep-05 11:14 *   267.9771 -15.7300
 2017-Sep-05 11:16 *   268.2937 -16.0914
 2017-Sep-05 11:18 *   268.6107 -16.4528
 2017-Sep-05 11:20 *   268.9283 -16.8142
 2017-Sep-05 11:22 *   269.2464 -17.1756
 2017-Sep-05 11:24 *   269.5651 -17.5370
 2017-Sep-05 11:26 *   269.8844 -17.8984
 2017-Sep-05 11:28 *   270.2043 -18.2598
 2017-Sep-05 11:30 *   270.5248 -18.6211
 2017-Sep-05 11:32 *   270.8461 -18.9824
 2017-Sep-05 11:34 *   271.1681 -19.3436
 2017-Sep-05 11:36 *   271.4908 -19.7047
 2017-Sep-05 11:38 *   271.8143 -20.0657
 2017-Sep-05 11:40 *   272.1386 -20.4267
 2017-Sep-05 11:42 *   272.4638 -20.7875
 2017-Sep-05 11:44 *   272.7898 -21.1482
 2017-Sep-05 11:46 *   273.1168 -21.5087
 2017-Sep-05 11:48 *   273.4446 -21.8691
 2017-Sep-05 11:50 *   273.7735 -22.2293
 2017-Sep-05 11:52 *   274.1034 -22.5894
 2017-Sep-05 11:54 *   274.4343 -22.9493
 2017-Sep-05 11:56 *   274.7662 -23.3090
 2017-Sep-05 11:58 *   275.0993 -23.6684
 2017-Sep-05 12:00 *   275.4336 -24.0277
