 2017-Mar-05 04:32  m  278.7143  15.0939
 2017-Mar-05 04:34  m  279.0147  14.7341
 2017-Mar-05 04:36  m  279.3151  14.3746
 2017-Mar-05 04:38  m  279.6153  14.0155
 2017-Mar-05 04:40  m  279.9154  13.6567
 2017-Mar-05 04:42  m  280.2154  13.2983
 2017-Mar-05 04:44  m  280.5153  12.9403
 2017-Mar-05 04:46  m  280.8153  12.5827
 2017-Mar-05 04:48  m  281.1152  12.2254
 2017-Mar-05 04:50  m  281.4151  11.8686
 2017-Mar-05 04:52  m  281.7151  11.5122
 2017-Mar-05 04:54  m  282.0151  11.1562
 2017-Mar-05 04:56  m  282.3152  10.8007
 2017-Mar-05 04:58  m  282.6154  10.4456
 2017-Mar-05 05:00  m  282.9157  10.0910
 2017-Mar-05 05:02  m  283.2162   9.7368
 2017-Mar-05 05:04  m  283.5169   9.3832
 2017-Mar-05 05:06  m  283.8177   9.0300
 2017-Mar-05 05:08  m  284.1188   8.6773
 2017-Mar-05 05:10  m  284.4201   8.3251
 2017-Mar-05 05:12  m  284.7217   7.9734
 2017-Mar-05 05:14  m  285.0236   7.6223
 2017-Mar-05 05:16  m  285.3257   7.2717
 2017-Mar-05 05:18  m  285.6282   6.9216
 2017-Mar-05 05:20  m  285.9310   6.5721
 2017-Mar-05 05:22  m  286.2342   6.2232
 2017-Mar-05 05:24  m  286.5378   5.8749
 2017-Mar-05 05:26  m  286.8418   5.5271
 2017-Mar-05 05:28  m  287.1462   5.1799
 2017-Mar-05 05:30  m  287.4510   4.8334
 2017-Mar-05 05:32  m  287.7564   4.4875
 2017-Mar-05 05:34  m  288.0622   4.1422
 2017-Mar-05 05:36  m  288.3685   3.7975
 2017-Mar-05 05:38  m  288.6754   3.4535
 2017-Mar-05 05:40  m  288.9828   3.1102
 2017-Mar-05 05:42  m  289.2908   2.7676
 2017-Mar-05 05:44  m  289.5994   2.4256
 2017-Mar-05 05:46  m  289.9086   2.0843
 2017-Mar-05 05:48  m  290.2185   1.7438
 2017-Mar-05 05:50  m  290.5290   1.4039
 2017-Mar-05 05:52  m  290.8401   1.0648
 2017-Mar-05 05:54  m  291.1520   0.7265
 2017-Mar-05 05:56  m  291.4646   0.3889
 2017-Mar-05 05:58  m  291.7779   0.0520
 2017-Mar-05 06:00  m  292.0920  -0.2840
 2017-Mar-05 06:02  m  292.4068  -0.6193
 2017-Mar-05 06:04  s  292.7224  -0.9538
 2017-Mar-05 06:06     293.0389  -1.2874
 2017-Mar-05 06:08     293.3561  -1.6203
 2017-Mar-05 06:10     293.6743  -1.9523
 2017-Mar-05 06:12     293.9933  -2.2834
 2017-Mar-05 06:14     294.3132  -2.6137
 2017-Mar-05 06:16     294.6340  -2.9431
 2017-Mar-05 06:18     294.9557  -3.2716
 2017-Mar-05 06:20     295.2784  -3.5992
 2017-Mar-05 06:22     295.6021  -3.9259
 2017-Mar-05 06:24     295.9267  -4.2517
 2017-Mar-05 06:26     296.2524  -4.5765
 2017-Mar-05 06:28     296.5790  -4.9004
 2017-Mar-05 06:30     296.9068  -5.2234
 2017-Mar-05 06:32     297.2356  -5.5453
 2017-Mar-05 06:34     297.5654  -5.8663
 2017-Mar-05 06:36     297.8964  -6.1862
