 2020-Dec-05 05:54  m  100.5057  45.1489
 2020-Dec-05 05:56  m  100.8953  45.5098
 2020-Dec-05 05:58  m  101.2883  45.8703
 2020-Dec-05 06:00  m  101.6850  46.2304
 2020-Dec-05 06:02  m  102.0853  46.5899
 2020-Dec-05 06:04  m  102.4894  46.9489
 2020-Dec-05 06:06  m  102.8973  47.3074
 2020-Dec-05 06:08  m  103.3092  47.6653
 2020-Dec-05 06:10  m  103.7252  48.0226
 2020-Dec-05 06:12  m  104.1454  48.3792
 2020-Dec-05 06:14  m  104.5699  48.7352
 2020-Dec-05 06:16  m  104.9989  49.0906
 2020-Dec-05 06:18  m  105.4323  49.4452
 2020-Dec-05 06:20  m  105.8705  49.7991
 2020-Dec-05 06:22  m  106.3134  50.1522
 2020-Dec-05 06:24  m  106.7613  50.5046
 2020-Dec-05 06:26  m  107.2142  50.8561
 2020-Dec-05 06:28  m  107.6723  51.2068
 2020-Dec-05 06:30  m  108.1358  51.5565
 2020-Dec-05 06:32  m  108.6047  51.9054
 2020-Dec-05 06:34  m  109.0793  52.2532
 2020-Dec-05 06:36  m  109.5596  52.6001
 2020-Dec-05 06:38  m  110.0459  52.9459
 2020-Dec-05 06:40  m  110.5383  53.2907
 2020-Dec-05 06:42  m  111.0369  53.6344
 2020-Dec-05 06:44  m  111.5420  53.9769
 2020-Dec-05 06:46  m  112.0537  54.3181
 2020-Dec-05 06:48  m  112.5721  54.6582
 2020-Dec-05 06:50  m  113.0976  54.9970
 2020-Dec-05 06:52  m  113.6302  55.3344
 2020-Dec-05 06:54  m  114.1701  55.6704
 2020-Dec-05 06:56  m  114.7176  56.0050
 2020-Dec-05 06:58  m  115.2728  56.3381
 2020-Dec-05 07:00  m  115.8360  56.6697
 2020-Dec-05 07:02  m  116.4073  56.9997
 2020-Dec-05 07:04  m  116.9871  57.3280
 2020-Dec-05 07:06  m  117.5754  57.6546
 2020-Dec-05 07:08  m  118.1725  57.9794
 2020-Dec-05 07:10  m  118.7787  58.3024
 2020-Dec-05 07:12  m  119.3942  58.6235
 2020-Dec-05 07:14  m  120.0193  58.9426
 2020-Dec-05 07:16  m  120.6541  59.2597
 2020-Dec-05 07:18  m  121.2989  59.5747
 2020-Dec-05 07:20  m  121.9540  59.8874
 2020-Dec-05 07:22  m  122.6197  60.1979
 2020-Dec-05 07:24  m  123.2961  60.5061
 2020-Dec-05 07:26  m  123.9836  60.8118
 2020-Dec-05 07:28  m  124.6825  61.1150
 2020-Dec-05 07:30  m  125.3929  61.4156
 2020-Dec-05 07:32  m  126.1152  61.7135
 2020-Dec-05 07:34  m  126.8497  62.0086
 2020-Dec-05 07:36  m  127.5966  62.3009
 2020-Dec-05 07:38  m  128.3562  62.5901
 2020-Dec-05 07:40  m  129.1288  62.8763
 2020-Dec-05 07:42  m  129.9146  63.1592
 2020-Dec-05 07:44  m  130.7139  63.4389
 2020-Dec-05 07:46  m  131.5271  63.7151
 2020-Dec-05 07:48  m  132.3543  63.9878
 2020-Dec-05 07:50  m  133.1959  64.2569
 2020-Dec-05 07:52  m  134.0521  64.5222
 2020-Dec-05 07:54  m  134.9231  64.7835
 2020-Dec-05 07:56  m  135.8092  65.0408
 2020-Dec-05 07:58  m  136.7106  65.2940
 2020-Dec-05 08:00  m  137.6275  65.5429
 2020-Dec-05 08:02  m  138.5602  65.7873
 2020-Dec-05 08:04  m  139.5089  66.0271
 2020-Dec-05 08:06  m  140.4736  66.2622
 2020-Dec-05 08:08  m  141.4546  66.4924
 2020-Dec-05 08:10  m  142.4520  66.7176
 2020-Dec-05 08:12  m  143.4658  66.9376
 2020-Dec-05 08:14  m  144.4963  67.1522
 2020-Dec-05 08:16  m  145.5434  67.3614
