 2020-Sep-05 12:52 *m  266.1492   9.1711
 2020-Sep-05 12:54 *m  266.4760   8.8070
 2020-Sep-05 12:56 *m  266.8023   8.4428
 2020-Sep-05 12:58 *m  267.1281   8.0785
 2020-Sep-05 13:00 *m  267.4534   7.7141
 2020-Sep-05 13:02 *m  267.7783   7.3497
 2020-Sep-05 13:04 *m  268.1029   6.9853
 2020-Sep-05 13:06 *m  268.4270   6.6208
 2020-Sep-05 13:08 *m  268.7508   6.2563
 2020-Sep-05 13:10 *m  269.0743   5.8917
 2020-Sep-05 13:12 *m  269.3975   5.5272
 2020-Sep-05 13:14 *m  269.7205   5.1627
 2020-Sep-05 13:16 *m  270.0432   4.7982
 2020-Sep-05 13:18 *m  270.3657   4.4338
 2020-Sep-05 13:20 *m  270.6880   4.0694
 2020-Sep-05 13:22 *m  271.0101   3.7050
 2020-Sep-05 13:24 *m  271.3322   3.3408
 2020-Sep-05 13:26 *m  271.6541   2.9766
 2020-Sep-05 13:28 *m  271.9759   2.6125
 2020-Sep-05 13:30 *m  272.2977   2.2486
 2020-Sep-05 13:32 *m  272.6195   1.8847
 2020-Sep-05 13:34 *m  272.9413   1.5210
 2020-Sep-05 13:36 *m  273.2631   1.1574
 2020-Sep-05 13:38 *m  273.5850   0.7940
 2020-Sep-05 13:40 *m  273.9069   0.4308
 2020-Sep-05 13:42 *m  274.2290   0.0677
 2020-Sep-05 13:44 *m  274.5512  -0.2952
 2020-Sep-05 13:46 *m  274.8735  -0.6579
 2020-Sep-05 13:48 *s  275.1961  -1.0203
 2020-Sep-05 13:50 *   275.5188  -1.3826
 2020-Sep-05 13:52 *   275.8418  -1.7445
 2020-Sep-05 13:54 *   276.1651  -2.1063
 2020-Sep-05 13:56 *   276.4886  -2.4678
 2020-Sep-05 13:58 *   276.8125  -2.8290
 2020-Sep-05 14:00 *   277.1367  -3.1899
 2020-Sep-05 14:02 *   277.4612  -3.5505
 2020-Sep-05 14:04 *   277.7862  -3.9108
 2020-Sep-05 14:06 *   278.1116  -4.2708
 2020-Sep-05 14:08 *   278.4374  -4.6305
 2020-Sep-05 14:10 *   278.7637  -4.9898
 2020-Sep-05 14:12 *   279.0906  -5.3487
 2020-Sep-05 14:14 *   279.4179  -5.7073
 2020-Sep-05 14:16 *   279.7458  -6.0655
 2020-Sep-05 14:18 *   280.0743  -6.4233
 2020-Sep-05 14:20 *   280.4033  -6.7807
 2020-Sep-05 14:22 *   280.7330  -7.1376
 2020-Sep-05 14:24 *   281.0634  -7.4942
 2020-Sep-05 14:26 *   281.3944  -7.8502
 2020-Sep-05 14:28 *   281.7262  -8.2059
 2020-Sep-05 14:30 *   282.0587  -8.5610
 2020-Sep-05 14:32 *   282.3920  -8.9157
 2020-Sep-05 14:34 *   282.7260  -9.2698
 2020-Sep-05 14:36 *   283.0609  -9.6235
 2020-Sep-05 14:38 *   283.3967  -9.9766
 2020-Sep-05 14:40 *   283.7333 -10.3292
 2020-Sep-05 14:42 *   284.0708 -10.6812
 2020-Sep-05 14:44 *   284.4092 -11.0326
 2020-Sep-05 14:46 *   284.7486 -11.3835
 2020-Sep-05 14:48 *   285.0890 -11.7338
 2020-Sep-05 14:50 *   285.4303 -12.0835
 2020-Sep-05 14:52 *   285.7728 -12.4325
 2020-Sep-05 14:54 *   286.1163 -12.7809
 2020-Sep-05 14:56 *   286.4609 -13.1287
 2020-Sep-05 14:58 *   286.8066 -13.4757
 2020-Sep-05 15:00 *   287.1534 -13.8221
 2020-Sep-05 15:02 *   287.5015 -14.1678
 2020-Sep-05 15:04 *   287.8508 -14.5128
 2020-Sep-05 15:06 *   288.2013 -14.8571
 2020-Sep-05 15:08 *   288.5530 -15.2006
 2020-Sep-05 15:10 *   288.9061 -15.5434
 2020-Sep-05 15:12 *   289.2605 -15.8854
 2020-Sep-05 15:14 *   289.6162 -16.2266
 2020-Sep-05 15:16 *   289.9733 -16.5670
 2020-Sep-05 15:18 *   290.3319 -16.9065
 2020-Sep-05 15:20 *   290.6919 -17.2452
 2020-Sep-05 15:22 *   291.0533 -17.5831
 2020-Sep-05 15:24 *   291.4163 -17.9201
 2020-Sep-05 15:26 *   291.7808 -18.2562
 2020-Sep-05 15:28 *   292.1468 -18.5914
 2020-Sep-05 15:30 *   292.5145 -18.9257
 2020-Sep-05 15:32 *   292.8838 -19.2590
 2020-Sep-05 15:34 *   293.2547 -19.5914
 2020-Sep-05 15:36 *   293.6273 -19.9227
 2020-Sep-05 15:38 *   294.0016 -20.2531
 2020-Sep-05 15:40 *   294.3777 -20.5825
 2020-Sep-05 15:42 *   294.7556 -20.9108
 2020-Sep-05 15:44 *   295.1352 -21.2381
 2020-Sep-05 15:46 *   295.5167 -21.5643
 2020-Sep-05 15:48 *   295.9001 -21.8894
 2020-Sep-05 15:50 *   296.2854 -22.2134
 2020-Sep-05 15:52 *   296.6726 -22.5363
 2020-Sep-05 15:54 *   297.0618 -22.8580
 2020-Sep-05 15:56 *   297.4530 -23.1786
 2020-Sep-05 15:58 *   297.8462 -23.4979
 2020-Sep-05 16:00 *   298.2414 -23.8160
 2020-Sep-05 16:02 *   298.6388 -24.1329
 2020-Sep-05 16:04 *   299.0383 -24.4486
 2020-Sep-05 16:06 *   299.4399 -24.7629
 2020-Sep-05 16:08 *   299.8437 -25.0759
 2020-Sep-05 16:10 *   300.2498 -25.3877
 2020-Sep-05 16:12 *   300.6581 -25.6980
 2020-Sep-05 16:14 *   301.0686 -26.0070
 2020-Sep-05 16:16 *   301.4815 -26.3146
 2020-Sep-05 16:18 *   301.8968 -26.6208
 2020-Sep-05 16:20 *   302.3144 -26.9255
 2020-Sep-05 16:22 *   302.7344 -27.2288
